사고ID,연월,연도,월,자치구,주야,사고내용,사고유형,사고유형_대분류,사고유형_소분류,법규위반,노면상태,기상상태,도로형태,도로형태_대분류,도로형태_소분류,사망자수,중상자수,경상자수,부상신고자수,총부상자수,총사상자수,중상이상자수,PM_가해여부,PM_피해여부,PM_역할,가해운전자_차종,가해운전자_성별,가해운전자_연령대,가해운전자_상해정도,피해운전자_차종,피해운전자_성별,피해운전자_연령대,피해운전자_상해정도,원본파일
2019005881,2019-01,2019,1,강남구,야간,중상사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,기타 - 기타,기타,기타,0,1,0,0,1,1,1,N,Y,피해,승용,남,51-60세,기타불명,개인형이동수단(PM),남,13-20세,중상,2019.xlsx
2019010928,2019-01,2019,1,강동구,주간,경상사고,차대차 - 충돌,차대차,충돌,신호위반,건조,맑음,교차로 - 교차로횡단보도내,교차로,교차로횡단보도내,0,0,1,0,1,1,0,N,Y,피해,승용,여,31-40세,상해없음,개인형이동수단(PM),남,41-50세,경상,2019.xlsx
2019011531,2019-01,2019,1,금천구,주간,부상신고사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,교차로,교차로부근,0,0,0,1,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,부상신고,이륜,남,41-50세,상해없음,2019.xlsx
2019015369,2019-01,2019,1,도봉구,야간,중상사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,1,0,0,1,1,1,N,Y,피해,승용,남,31-40세,상해없음,개인형이동수단(PM),여,51-60세,중상,2019.xlsx
2019002058,2019-01,2019,1,동대문구,주간,경상사고,차대사람 - 기타,차대사람,기타,안전운전불이행,건조,맑음,단일로 - 기타,단일로,기타,0,0,1,0,1,1,0,Y,N,가해,개인형이동수단(PM),남,21-30세,상해없음,보행자,남,65세 이상,경상,2019.xlsx
2019014917,2019-01,2019,1,마포구,주간,경상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,N,Y,피해,승용,남,51-60세,상해없음,개인형이동수단(PM),남,31-40세,경상,2019.xlsx
2019007950,2019-01,2019,1,영등포구,야간,경상사고,차대차 - 기타,차대차,기타,안전운전불이행,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,0,1,0,1,1,0,N,Y,피해,화물,남,21-30세,상해없음,개인형이동수단(PM),여,41-50세,경상,2019.xlsx
2019012674,2019-01,2019,1,은평구,주간,중상사고,차대사람 - 횡단중,차대사람,횡단중,신호위반,건조,맑음,교차로 - 교차로안,교차로,교차로안,0,1,0,0,1,1,1,Y,N,가해,개인형이동수단(PM),남,41-50세,상해없음,보행자,여,65세 이상,중상,2019.xlsx
2019022210,2019-02,2019,2,강남구,야간,중상사고,차대차 - 기타,차대차,기타,중앙선침범,건조,맑음,단일로 - 기타,단일로,기타,0,2,0,0,2,2,2,Y,N,가해,개인형이동수단(PM),남,21-30세,중상,이륜,남,31-40세,중상,2019.xlsx
2019020826,2019-02,2019,2,강서구,야간,경상사고,차대차 - 충돌,차대차,충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,교차로,교차로부근,0,0,1,0,1,1,0,N,Y,피해,승용,남,51-60세,상해없음,개인형이동수단(PM),남,31-40세,경상,2019.xlsx
