연도,자치구,PM_사고건수,사망자수,중상자수,경상자수,부상신고자수,총부상자수,총사상자수,중상이상자수,PM_가해사고건수,PM_피해사고건수,야간사고건수
2019,강남구,59,0,18,32,11,61,61,18,36,23,27
2019,강동구,7,0,2,5,0,7,7,2,2,5,2
2019,강북구,6,0,5,1,0,6,6,5,1,5,1
2019,강서구,8,0,5,2,1,8,8,5,4,4,3
2019,관악구,4,0,2,2,0,4,4,2,2,2,2
2019,광진구,9,0,3,7,0,10,10,3,9,0,5
2019,구로구,11,0,2,9,0,11,11,2,3,8,7
2019,금천구,7,0,4,2,1,7,7,4,5,2,4
2019,노원구,3,0,0,3,0,3,3,0,3,0,3
2019,도봉구,5,0,2,2,1,5,5,2,3,2,2
2019,동대문구,6,0,2,4,0,6,6,2,3,3,0
2019,동작구,1,0,0,0,1,1,1,0,1,0,0
2019,마포구,10,1,1,7,1,9,10,2,4,6,4
2019,서대문구,5,0,0,3,2,5,5,0,4,1,2
2019,서초구,26,0,4,20,5,29,29,4,16,10,9
2019,성동구,8,0,3,3,4,10,10,3,5,3,3
2019,성북구,4,0,1,2,1,4,4,1,2,2,1
2019,송파구,13,0,5,9,1,15,15,5,7,6,6
2019,양천구,5,0,1,2,2,5,5,1,2,3,3
2019,영등포구,12,0,3,8,1,12,12,3,6,6,6
2019,용산구,3,0,2,1,0,3,3,2,1,2,2
2019,은평구,11,0,3,7,1,11,11,3,7,4,3
2019,종로구,1,0,0,1,0,1,1,0,1,0,0
2019,중구,4,0,1,3,0,4,4,1,2,2,3
2019,중랑구,8,0,1,6,1,8,8,1,5,3,3
2020,강남구,141,0,37,92,27,156,156,37,94,47,82
2020,강동구,18,0,8,10,1,19,19,8,10,8,9
2020,강북구,8,0,2,6,0,8,8,2,3,5,5
2020,강서구,12,0,3,9,2,14,14,3,10,2,7
2020,관악구,32,0,4,31,1,36,36,4,21,11,18
2020,광진구,28,0,11,20,2,33,33,11,24,5,17
2020,구로구,22,2,4,14,3,21,23,6,12,10,8
2020,금천구,11,0,5,8,1,14,14,5,7,4,6
2020,노원구,10,0,2,5,4,11,11,2,7,3,4
2020,도봉구,7,0,0,5,2,7,7,0,6,1,1
2020,동대문구,19,1,5,10,3,18,19,6,12,7,8
2020,동작구,15,0,2,11,2,15,15,2,11,4,9
2020,마포구,46,0,14,25,11,50,50,14,32,15,28
2020,서대문구,7,0,1,6,0,7,7,1,7,1,4
2020,서초구,46,0,15,28,5,48,48,15,31,16,24
2020,성동구,19,0,5,13,1,19,19,5,15,4,10
2020,성북구,6,0,2,4,0,6,6,2,4,2,3
2020,송파구,52,0,8,33,16,57,57,8,32,21,24
2020,양천구,9,0,2,7,0,9,9,2,8,1,5
2020,영등포구,20,0,8,12,5,25,25,8,14,6,13
2020,용산구,5,0,4,1,0,5,5,4,4,1,3
2020,은평구,8,0,6,2,0,8,8,6,3,5,2
2020,종로구,9,0,4,6,0,10,10,4,7,2,5
2020,중구,13,1,2,8,3,13,14,3,8,5,8
2020,중랑구,12,0,3,9,1,13,13,3,5,7,6
2021,강남구,106,0,18,84,14,116,116,18,81,26,59
2021,강동구,15,0,5,9,1,15,15,5,7,8,7
2021,강북구,22,0,5,19,0,24,24,5,16,6,14
2021,강서구,39,0,9,27,3,39,39,9,18,21,21
2021,관악구,27,0,10,17,1,28,28,10,14,13,16
2021,광진구,29,0,9,20,3,32,32,9,19,10,13
2021,구로구,16,0,6,5,5,16,16,6,9,7,11
2021,금천구,12,0,3,10,1,14,14,3,3,9,8
2021,노원구,19,1,3,16,2,21,22,4,18,1,12
2021,도봉구,4,0,0,4,1,5,5,0,3,1,0
2021,동대문구,23,0,6,14,4,24,24,6,14,9,9
2021,동작구,25,0,7,14,8,29,29,7,21,4,11
2021,마포구,40,0,14,23,7,44,44,14,33,7,22
2021,서대문구,14,0,3,5,6,14,14,3,12,2,9
2021,서초구,33,0,12,21,7,40,40,12,30,3,16
2021,성동구,22,0,5,17,1,23,23,5,16,6,11
2021,성북구,8,0,3,4,1,8,8,3,5,3,2
2021,송파구,78,1,25,38,20,83,84,26,57,21,35
2021,양천구,11,0,2,10,0,12,12,2,5,6,5
2021,영등포구,22,0,4,16,3,23,23,4,13,9,12
2021,용산구,7,0,2,4,1,7,7,2,6,1,4
2021,은평구,20,0,7,13,5,25,25,7,14,6,8
2021,종로구,7,0,3,3,2,8,8,3,4,3,3
2021,중구,13,0,3,7,4,14,14,3,8,5,7
2021,중랑구,28,0,7,15,7,29,29,7,19,9,11
2022,강남구,108,2,27,75,12,114,116,29,84,26,60
2022,강동구,9,0,3,7,0,10,10,3,4,5,3
2022,강북구,8,0,3,9,0,12,12,3,3,5,3
2022,강서구,15,0,5,7,4,16,16,5,10,5,3
2022,관악구,22,0,6,15,2,23,23,6,17,5,17
