연월,자치구,연도,월,PM_사고건수,사망자수,중상자수,경상자수,부상신고자수,총부상자수,총사상자수,중상이상자수,PM_가해사고건수,PM_피해사고건수,야간사고건수
2019-01,강남구,2019,1,1,0,1,0,0,1,1,1,0,1,1
2019-01,강동구,2019,1,1,0,0,1,0,1,1,0,0,1,0
2019-01,강북구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,강서구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,관악구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,광진구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,구로구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,금천구,2019,1,1,0,0,0,1,1,1,0,1,0,0
2019-01,노원구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,도봉구,2019,1,1,0,1,0,0,1,1,1,0,1,1
2019-01,동대문구,2019,1,1,0,0,1,0,1,1,0,1,0,0
2019-01,동작구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,마포구,2019,1,1,0,0,1,0,1,1,0,0,1,0
2019-01,서대문구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,서초구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,성동구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,성북구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,송파구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,양천구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,영등포구,2019,1,1,0,0,1,0,1,1,0,0,1,1
2019-01,용산구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,은평구,2019,1,1,0,1,0,0,1,1,1,1,0,0
2019-01,종로구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,중구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-01,중랑구,2019,1,0,0,0,0,0,0,0,0,0,0,0
2019-02,강남구,2019,2,1,0,2,0,0,2,2,2,1,0,1
2019-02,강동구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,강북구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,강서구,2019,2,1,0,0,1,0,1,1,0,0,1,1
2019-02,관악구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,광진구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,구로구,2019,2,1,0,0,1,0,1,1,0,0,1,1
2019-02,금천구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,노원구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,도봉구,2019,2,1,0,0,1,0,1,1,0,1,0,0
2019-02,동대문구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,동작구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,마포구,2019,2,1,0,0,1,0,1,1,0,0,1,0
2019-02,서대문구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,서초구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,성동구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,성북구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,송파구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,양천구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,영등포구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,용산구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,은평구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,종로구,2019,2,0,0,0,0,0,0,0,0,0,0,0
2019-02,중구,2019,2,0,0,0,0,0,0,0,0,0,0,0
