연월,대여소번호,이용건수,이동거리,이용시간,자치구
2018-01,1001,169,492840.0,2670,강동구
2018-01,1002,76,189260.0,1907,강동구
2018-01,1003,68,138150.0,1373,강동구
2018-01,1004,103,318910.0,2856,강동구
2018-01,1006,43,177950.0,951,강동구
2018-01,1007,5,36780.0,245,강동구
2018-01,1008,141,444400.0,2957,강동구
2018-01,1009,225,595780.0,3626,강동구
2018-01,101,133,558940.0,2834,마포구
2018-01,1010,192,731670.0,3944,강동구
2018-01,1011,270,683020.0,5421,강동구
2018-01,1012,79,162900.0,1051,강동구
2018-01,1013,171,293730.0,2575,강동구
2018-01,1014,85,292670.0,1829,강동구
2018-01,1015,87,286420.0,1404,강동구
2018-01,1016,50,309410.0,1777,강동구
2018-01,1017,125,452570.0,4675,강동구
2018-01,1018,135,380750.0,2938,강동구
2018-01,1019,184,490890.0,3489,강동구
2018-01,102,477,1674680.0,9616,마포구
2018-01,1020,250,584620.0,4018,강동구
2018-01,1021,32,124430.0,962,강동구
2018-01,1022,91,257810.0,1959,강동구
2018-01,1023,25,141770.0,804,강동구
2018-01,1024,89,309430.0,2479,강동구
2018-01,1025,9,68060.0,213,강동구
2018-01,1026,45,133920.0,624,강동구
2018-01,1027,25,55450.0,432,강동구
2018-01,1028,33,57690.0,606,강동구
2018-01,1029,93,229440.0,1575,강동구
2018-01,103,378,973800.0,7249,마포구
2018-01,1030,72,235380.0,2279,강동구
2018-01,1031,9,29140.0,252,강동구
2018-01,1032,26,165830.0,1068,강동구
2018-01,1033,88,141540.0,1076,강동구
2018-01,1034,5,6680.0,93,강동구
2018-01,1035,143,568970.0,3103,강동구
2018-01,1036,58,183610.0,1208,강동구
2018-01,1037,8,38450.0,241,강동구
2018-01,1038,14,24180.0,105,강동구
2018-01,1039,8,12220.0,94,강동구
2018-01,104,346,1118290.0,7494,마포구
2018-01,1040,1,14270.0,67,미상
2018-01,1041,49,200480.0,1101,강동구
2018-01,1042,10,26100.0,295,강동구
2018-01,1044,120,421860.0,2053,강동구
2018-01,105,210,726380.0,3793,마포구
2018-01,106,344,1259840.0,7027,마포구
2018-01,107,539,1190510.0,11119,마포구
2018-01,108,363,985980.0,7012,마포구
2018-01,109,157,460450.0,3348,마포구
2018-01,110,116,472070.0,1927,미상
2018-01,1101,12,116680.0,925,강서구
2018-01,1102,99,150050.0,901,강서구
2018-01,1103,96,184560.0,1006,강서구
2018-01,1105,7,14670.0,131,강서구
2018-01,1106,41,112090.0,645,강서구
2018-01,1108,64,240710.0,1795,강서구
2018-01,1109,69,246930.0,1860,강서구
2018-01,111,256,792610.0,5795,마포구
2018-01,1110,24,60480.0,524,강서구
2018-01,1111,57,189430.0,1515,강서구
2018-01,1112,139,540340.0,3653,강서구
2018-01,1113,124,415910.0,2316,강서구
2018-01,1114,18,94330.0,519,강서구
2018-01,1115,106,257250.0,2026,강서구
2018-01,1117,201,1056440.0,4691,강서구
2018-01,1118,163,709260.0,4224,강서구
2018-01,1119,145,482720.0,2456,강서구
2018-01,112,330,1116230.0,7469,마포구
2018-01,1120,202,668380.0,6339,강서구
2018-01,1121,148,545320.0,4025,강서구
2018-01,1122,117,1104910.0,5215,강서구
2018-01,1123,150,971330.0,5539,미상
2018-01,1124,311,1096640.0,7146,강서구
2018-01,1125,104,572240.0,2136,강서구
2018-01,1126,97,238090.0,1754,강서구
2018-01,1127,82,355640.0,2172,강서구
2018-01,1128,69,182460.0,1815,강서구
2018-01,1129,66,235960.0,1221,강서구
2018-01,113,1186,2934740.0,21068,마포구
