연월,자치구,월별_확진자수
2020-01,강남구,0
2020-01,강동구,0
2020-01,강북구,0
2020-01,강서구,1
2020-01,관악구,0
2020-01,광진구,0
2020-01,구로구,0
2020-01,금천구,0
2020-01,노원구,0
2020-01,도봉구,0
2020-01,동대문구,0
2020-01,동작구,0
2020-01,마포구,1
2020-01,서대문구,0
2020-01,서초구,0
2020-01,성동구,0
2020-01,성북구,1
2020-01,송파구,0
2020-01,양천구,0
2020-01,영등포구,0
2020-01,용산구,0
2020-01,은평구,0
2020-01,종로구,3
2020-01,중구,0
2020-01,중랑구,1
2020-02,강남구,6
2020-02,강동구,4
2020-02,강북구,0
2020-02,강서구,1
2020-02,관악구,4
2020-02,광진구,1
2020-02,구로구,1
2020-02,금천구,1
2020-02,노원구,7
2020-02,도봉구,0
2020-02,동대문구,1
2020-02,동작구,1
2020-02,마포구,0
2020-02,서대문구,4
2020-02,서초구,4
2020-02,성동구,3
2020-02,성북구,1
2020-02,송파구,10
2020-02,양천구,1
2020-02,영등포구,1
2020-02,용산구,0
2020-02,은평구,7
2020-02,종로구,8
2020-02,중구,0
2020-02,중랑구,0
2020-03,강남구,35
2020-03,강동구,6
2020-03,강북구,5
2020-03,강서구,20
2020-03,관악구,29
2020-03,광진구,4
2020-03,구로구,33
2020-03,금천구,11
2020-03,노원구,13
2020-03,도봉구,6
2020-03,동대문구,25
2020-03,동작구,23
2020-03,마포구,16
2020-03,서대문구,9
2020-03,서초구,21
2020-03,성동구,3
2020-03,성북구,13
2020-03,송파구,17
2020-03,양천구,17
2020-03,영등포구,18
2020-03,용산구,11
2020-03,은평구,14
2020-03,종로구,4
2020-03,중구,5
2020-03,중랑구,12
2020-04,강남구,23
2020-04,강동구,3
2020-04,강북구,0
2020-04,강서구,4
2020-04,관악구,10
2020-04,광진구,3
2020-04,구로구,1
2020-04,금천구,0
2020-04,노원구,3
2020-04,도봉구,3
2020-04,동대문구,5
2020-04,동작구,7
2020-04,마포구,7
2020-04,서대문구,6
2020-04,서초구,13
2020-04,성동구,13
2020-04,성북구,9
2020-04,송파구,10
2020-04,양천구,3
2020-04,영등포구,4
2020-04,용산구,7
2020-04,은평구,7
2020-04,종로구,1
2020-04,중구,1
2020-04,중랑구,3
2020-05,강남구,11
2020-05,강동구,11
2020-05,강북구,9
2020-05,강서구,19
2020-05,관악구,16
2020-05,광진구,6
2020-05,구로구,6
2020-05,금천구,3
2020-05,노원구,8
2020-05,도봉구,10
2020-05,동대문구,3
2020-05,동작구,9
2020-05,마포구,3
2020-05,서대문구,8
2020-05,서초구,4
2020-05,성동구,21
2020-05,성북구,5
2020-05,송파구,11
2020-05,양천구,6
2020-05,영등포구,11
2020-05,용산구,20
2020-05,은평구,7
2020-05,종로구,3
2020-05,중구,3
2020-05,중랑구,3
2020-06,강남구,8
2020-06,강동구,11
2020-06,강북구,10
2020-06,강서구,33
2020-06,관악구,58
2020-06,광진구,3
2020-06,구로구,45
2020-06,금천구,17
2020-06,노원구,13
2020-06,도봉구,43
2020-06,동대문구,4
2020-06,동작구,13
2020-06,마포구,12
2020-06,서대문구,8
2020-06,서초구,14
2020-06,성동구,9
2020-06,성북구,4
2020-06,송파구,7
2020-06,양천구,43
2020-06,영등포구,29
2020-06,용산구,12
2020-06,은평구,18
2020-06,종로구,3
2020-06,중구,3
2020-06,중랑구,14
2020-07,강남구,15
2020-07,강동구,14
2020-07,강북구,4
2020-07,강서구,25
2020-07,관악구,27
2020-07,광진구,5
2020-07,구로구,5
2020-07,금천구,7
2020-07,노원구,6
2020-07,도봉구,2
2020-07,동대문구,6
2020-07,동작구,17
2020-07,마포구,13
2020-07,서대문구,6
2020-07,서초구,8
2020-07,성동구,8
2020-07,성북구,9
2020-07,송파구,44
2020-07,양천구,1
2020-07,영등포구,7
2020-07,용산구,4
2020-07,은평구,11
2020-07,종로구,6
2020-07,중구,8
2020-07,중랑구,11
2020-08,강남구,81
2020-08,강동구,92
2020-08,강북구,79
2020-08,강서구,109
2020-08,관악구,103
2020-08,광진구,74
2020-08,구로구,58
2020-08,금천구,34
2020-08,노원구,189
2020-08,도봉구,72
2020-08,동대문구,74
2020-08,동작구,106
2020-08,마포구,77
2020-08,서대문구,51
2020-08,서초구,78
2020-08,성동구,32
2020-08,성북구,241
2020-08,송파구,160
2020-08,양천구,76
2020-08,영등포구,67
2020-08,용산구,47
2020-08,은평구,121
2020-08,종로구,37
2020-08,중구,30
2020-08,중랑구,102
2020-09,강남구,91
2020-09,강동구,44
2020-09,강북구,37
2020-09,강서구,73
