시군구명,도로명 주소,지번 주소,세부위치
서울특별시 강남구,서울특별시 강남구 학동로 401,서울특별시 강남구 청담동 41-2,강남구청역 4번 출구
서울특별시 강남구,서울특별시 강남구 봉은사로 502,서울특별시 강남구 삼성동 145,삼성중앙역 5번 출구
서울특별시 강남구,서울특별시 강남구 테헤란로 202,서울특별시 강남구 역삼동 717,역삼역 8번 출구
서울특별시 강남구,서울특별시 강남구 삼성로 654,서울특별시 강남구삼성동 52,청담역 6번 출구
서울특별시 강남구,서울특별시 강남구 논현로 667,서울특별시 강남구 논현동 129-1,학동역 9번 출구
서울특별시 강남구,서울특별시 강남구 도산대로 107,서울특별시 강남구 신사동 501-2,신사역 7번 출구
서울특별시 강남구,서울특별시 강남구 학동로 402,서울특별시 강남구 삼성동 1 ,강남구청역 1번 출구
서울특별시 강남구,서울특별시 강남구 학동로 343,서울특별시 강남구 논현동 119,강남구청역 3번 출구
서울특별시 강남구,서울특별시 강남구 테헤란로 528,서울특별시 대치동 945-5,삼성역 4번 출구
서울특별시 강남구,서울특별시 강남구 삼성로 706,서울특별시 청담동 76-4,청담역 9번 출구
