연번,시군구명,주소,세부위치,거치대 유무,데이터기준일자
1,서울특별시 동대문구,장안동 416-10,창도빌딩 앞(지하철 환풍구 옆 가로등 가로수 사이),X,2026-03-19
2,서울특별시 동대문구,답십리동 497-23,천호대로 257 청계푸르지오시티오피스텔 앞,X,2026-03-19
3,서울특별시 동대문구,신설동 98-32,신설동역 5번출구 뒤 자전거보관대 옆(파리바게트 앞),X,2026-03-19
4,서울특별시 동대문구,휘경동 255-4,회기로 195 셰계주류마켓 앞 보도,X,2026-03-19
5,서울특별시 동대문구,전농동 687,도미노피자 전농점 앞,X,2026-03-19
6,서울특별시 동대문구,이문동 329-1,스타벅스 외대정문점 앞,X,2026-03-19
7,서울특별시 동대문구,전농동 295-53,우리은행 전농동지점 앞,X,2026-03-19
8,서울특별시 동대문구,장안동 307-6,투썸플레이스 장안동 사거리점 앞,X,2026-03-19
9,서울특별시 동대문구,휘경동 267-10,에스오일주유소 앞 따릉이대여소 옆,X,2026-03-19
10,서울특별시 동대문구,전농동 103-340,시티프라자 앞,X,2026-03-19
11,서울특별시 동대문구,용두동 47-1,LG전자베스트샵 주차장 앞 보도,X,2026-03-19
12,서울특별시 동대문구,장안동 368-1,아트몰링 장안점 앞,X,2026-03-19
13,서울특별시 동대문구,전농동 10,베스킨라빈스 전농점 앞,X,2026-03-19
