주소,세부위치,설치년월
서초동 1374,대륭서초타워 앞(우성아파트 앞 사거리),2022-12-05
서초동 1374,현대렉시온 앞(뱅뱅사거리 근처),2022-12-05
서초동 1375,강남대로 올리브영 앞,2022-12-05
서초동 1720-11,대검찰청 건너편(흰물결아트센터 앞),2022-12-05
서초동 1582-12,교대입구 삼거리(커피빈 앞),2022-12-05
잠원동 87-1,논현역 6번 출구,2022-12-05
반포동 63-2,서래공원 따릉이 정류소 옆,2022-12-05
반포동 18-1,신반포역 3번 출구 앞,2022-12-05
방배동 3160,총신대입구역 2번 출구,2022-12-05
서초동 1673-11,교대역 1번 출구 뒤,2022-12-05
서초동 1748-17,서초역 1번 출구 앞,2022-12-05
서초동 1715-15,교대역 10번 출구 전방 30m 부근,2022-12-05
서초동 1541-43,서초역 4번 출구 인근,2022-12-05
서초동 1732-11,서초역 5번 출구 앞,2022-12-05
서초동 1374,삼성화재 서초사옥 앞,2022-12-05
서초동 1319-1,강남역 7번 출구 뒤,2022-12-05
서초동 1319-1,강남역 8번 출구 뒤,2022-12-05
반포동 749-18,신논현역 2번 출구 인근(스타벅스 앞),2022-12-05
서초동 1321-40,강남빌딩 앞 (부띠크모나코 건너편),2022-12-05
서초동 711-4,예술의 전당 앞,2022-12-05
서초동 산150-124,국립국악원 앞,2022-12-05
서초동 산150-124,국립국악원 앞,2022-12-05
서초동 산150-124,국립국악원 앞,2022-12-05
서초동 1445-17,남부터미널 4-1번 출구 (쌍용플래티넘 앞),2022-12-05
서초동 1445-17,남부터미널 역 4번 출구 인근,2022-12-05
서초동 1655-6,서울교대 앞,2022-12-05
서초동 1598-4,교대사거리 (하나은행 근처),2022-12-05
서초동 1748-38,서초3동 사거리,2022-12-05
반포동 706-8,논현역 4번 출구,2022-12-05
반포동 128-6,반포역 2번 출구,2022-12-05
반포동 19-3,고속터미널역 8번 출구,2022-12-05
방배동 1823,이수역 1번 출구,2022-12-05
방배동 438-34,이수역 6번 출구,2022-12-05
방배동 874-16,내방역 6번 출구,2022-12-05
방배동 149,내방역 3번 출구,2022-12-05
방배동 444-9,사당역 13번 출구,2022-12-05
서초동 1375,양재역 2번 출구,2022-12-05
양재동 13-4,양재역 7번 출구,2022-12-05
양재동 24,양재역 9번 출구,2022-12-05
서초동 1376-8,양재역 10번 출구,2022-12-05
양재동 20-41,교육개발원 입구 사거리(2),2022-12-05
양재동 237-2,양재시민의숲역 1번 출구 옆,2022-12-05
서초동 1366-12,양재역 1번 출구,2022-12-05
서초동 1542-1,서초역 2번 출구,2022-12-05
서초동 1377-1,서초1교 (다리 아래),2022-12-05
반포동 30-5,사평역 2번 출구,2022-12-05
양재동 67-10,교육개발원 입구 사거리(1),2022-12-05
양재동 232,AT센터 앞,2022-12-05
