'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-02','1031',' 암사동 CBIS','정기','F','~10대',4,183.41,1.82,7850,53
'2018-02','1253',' 오금역 3번 출구 뒤','정기','F','~10대',1,49.35,0.47,2010,20
'2018-02','1448',' 코스트코 상봉점','정기','F','~10대',2,94.99,0.97,4180,50
'2018-02','1530',' 광산사거리','정기','F','~10대',1,302.48,3.16,13640,81
'2018-02','300',' 정동사거리','정기','F','~10대',7,327.93,2.74,11830,69
'2018-02','2368',' 도곡동 경남아파트 건너편','정기','F','~10대',1,11.45,0.11,490,54
'2018-02','2370',' 한티역 3번출구','정기','F','~10대',2,29.1,0.28,1190,13
'2018-02','2372',' 대치역 사거리','정기','F','~10대',2,686.31,6.54,28200,231
'2018-02','1338',' 용문2교 옆','정기','F','~10대',1,264.86,2.39,10290,55
'2018-02','1958',' 강서수도사업소민원센터','정기','F','~10대',1,102.37,1.2,5170,56
'2018-02','307',' 서울역사박물관 앞','정기','F','~10대',2,88.15,0.74,3180,15
'2018-02','313',' 서울역 광장 파출소 옆','정기','F','~10대',6,260.57,2.19,9400,52
'2018-02','314',' 국립현대미술관','정기','F','~10대',1,68.19,0.57,2460,15
'2018-02','315',' 신한은행 안국역지점 옆','정기','F','~10대',1,222.11,1.81,7790,54
'2018-02','316',' 종각역 1번출구 앞','정기','F','~10대',1,41.58,0.35,1500,11
'2018-02','324',' 신세계백화점 본점 앞','정기','F','~10대',2,86.39,0.73,3150,28
'2018-02','339',' 종로4가 사거리','정기','F','~10대',1,121.65,0.89,3840,27
'2018-02','341',' 혜화역 3번출구 뒤','정기','F','~10대',1,10.99,0.09,370,2
'2018-02','112',' 극동방송국 앞','정기','F','~10대',2,221.28,2.36,10160,86
'2018-02','117',' 홍은사거리','정기','F','~10대',1,308.37,2.78,11980,50
'2018-02','355',' 서울사대부속초교 앞','정기','F','~10대',1,29.4,0.23,990,5
'2018-02','361',' 동묘앞역 1번출구 뒤','정기','F','~10대',1,164.23,1.34,5760,32
'2018-02','369',' 광화문 시민열린마당','정기','F','~10대',1,85.22,0.62,2690,16
'2018-02','371',' 동대입구역 6번출구 뒤','정기','F','~10대',3,311.21,2.46,10620,95
'2018-02','377',' 서울역 4번출구 앞','정기','F','~10대',3,146.65,1.23,5290,27
'2018-02','381',' 장충체육관','정기','F','~10대',1,112.82,0.89,3850,47
'2018-02','114',' 홍대입구역 8번출구 앞','정기','F','~10대',2,86.25,0.91,3930,28
'2018-02','142',' 아현역 4번출구 앞','정기','F','~10대',1,45.05,0.41,1750,6
'2018-02','143',' 공덕역 2번출구','정기','F','~10대',2,723.31,7.71,33210,217
'2018-02','144',' 공덕역 8번출구','정기','F','~10대',6,378.38,3.66,15740,105
'2018-02','145',' 공덕역 5번출구','정기','F','~10대',1,17.25,0.16,670,3
'2018-02','153',' 성산2교 사거리','정기','F','~10대',2,148.76,1.58,6830,59
'2018-02','518',' 청계천 박물관 앞','정기','F','~10대',5,252.11,2.39,10310,59
'2018-02','525',' 한양대병원사거리','정기','F','~10대',1,107.32,1.26,5420,52
'2018-02','530',' 청계벽산아파트 앞','정기','F','~10대',1,39.02,0.39,1670,9
'2018-02','123',' 문화촌 공원','정기','F','~10대',1,127.41,1.15,4950,34
'2018-02','544',' 광남중학교','정기','F','~10대',1,82.57,0.93,4010,55
'2018-02','614',' 용두동 사거리','정기','F','~10대',1,123.74,1.01,4340,28
'2018-02','227',' 양평2나들목 보행통로 입구','정기','F','~10대',1,202.12,2.15,9280,66
'2018-02','237',' 보라매 두산위브 건너편','정기','F','~10대',6,1176.57,14.99,64590,41
'2018-02','248',' 초원아파트 앞','정기','F','~10대',1,21.98,0.17,740,7
'2018-02','249',' 여의도중학교 옆','정기','F','~10대',3,971.75,8.59,37020,226
'2018-02','252',' 보라매역4번출구','정기','F','~10대',3,60.64,0.61,2590,17
'2018-02','703',' 오목교역 7번출구 앞','정기','F','~10대',3,824.35,8.27,35660,170
'2018-02','802',' 한강진역 2번 출구 앞','정기','F','~10대',1,68.43,0.84,3600,22
'2018-02','805',' 문배어린이공원 앞','정기','F','~10대',2,105.87,1.3,5570,45
'2018-02','807',' 서울역 12번 출구 앞','정기','F','~10대',1,16.19,0.13,560,4
'2018-02','808',' 서빙고동 금호맨션 앞','정기','F','~10대',1,68.81,0.84,3620,21
'2018-02','809',' 한남 유수지 복개주차장','정기','F','~10대',1,101.46,0.99,4270,41
'2018-02','812',' 용산전쟁기념관','정기','F','~10대',1,25.09,0.31,1320,12
'2018-02','133',' 해담는다리','정기','F','~10대',2,36.35,0.31,1350,12
'2018-02','194',' 증산교 앞','정기','F','~10대',4,196.43,1.85,8000,40
'2018-02','561',' 서울숲역 2번출구 앞','정기','F','~10대',1,251.74,2.27,9780,67
'2018-02','135',' 명물길 원형무대 앞','정기','F','~10대',3,227.03,2.05,8820,40
'2018-02','551',' 구의삼성쉐르빌 앞','정기','F','~10대',3,89.9,1.12,4830,59
'2018-02','553',' 중곡 성원APT 앞','정기','F','~10대',1,259.72,2.34,10090,74
'2018-02','622',' 전농사거리 교통섬','정기','F','~10대',1,11.4,0.11,480,3
'2018-02','271',' 샛강생태공원방문자센터 앞','정기','F','~10대',1,20.96,0.25,1080,5
'2018-02','816',' 신용산역 6번출구 앞','정기','F','~10대',1,81.13,0.91,3940,36
'2018-02','818',' 숙명여대 입구 교차로','정기','F','~10대',1,15.03,0.12,520,7
'2018-02','825',' 서빙고동 주민센터 앞','정기','F','~10대',4,1281.5,10.5,45270,325
'2018-02','901',' 응암1동사무소','정기','F','~10대',1,22.33,0.22,940,11
'2018-02','907',' CJ 드림시티','정기','F','~10대',1,92.15,0.83,3580,22
'2018-02','908',' 구산역 4번출구','정기','F','~10대',1,14.41,0.15,650,2
'2018-02','909',' 백련산 힐스테이트 3차','정기','F','~10대',10,695.99,5.1,21970,160
'2018-02','914',' 새절역 2번출구','정기','F','~10대',8,395.78,3.74,16120,92
'2018-02','916',' 평생학습관 앞','정기','F','~10대',1,22.81,0.22,960,10
'2018-02','923',' 국민은행 연서지점','정기','F','~10대',7,188.05,1.96,8480,35
'2018-02','1001',' 광진교 남단 사거리(디지털프라자앞)','정기','F','~10대',1,219.27,1.84,7910,61
'2018-02','1002',' 해공공원(천호동)','정기','F','~10대',1,40.89,0.41,1750,11
'2018-02','1008',' 암사역 3번출구(국민은행앞)','정기','F','~10대',3,118.22,1.18,5060,49
'2018-02','1009',' 천호역4번출구(현대백화점)','정기','F','~10대',1,55.14,0.55,2360,16
'2018-02','1209',' 잠실나루역 (2번 출구 쪽)','정기','F','~10대',1,20.9,0.21,910,4
'2018-02','1215',' 올림픽공원역 1번출구 앞','정기','F','~10대',1,18.63,0.23,980,4
'2018-02','1235',' 잠실트리지움310동 옆','정기','F','~10대',1,44.68,0.42,1820,9
'2018-02','1315',' 고려사대부속중고 정문','정기','F','~10대',3,257.77,2.64,11420,94
'2018-02','1402',' 금란주차장 앞','정기','F','~10대',2,49.52,0.51,2180,17
'2018-02','1403',' 중화빌딩 앞 (동부시장)','정기','F','~10대',5,1939.28,20.29,87450,307
'2018-02','1408',' 먹골역 6번출구 앞','정기','F','~10대',1,69.59,0.7,3030,43
'2018-02','212',' 여의도역 1번출구 옆','정기','F','~10대',3,44.82,0.54,2310,13
'2018-02','1420',' 신내어울공원 앞','정기','F','~10대',3,69.14,0.71,3010,25
'2018-02','1424',' 양원역 2번출구','정기','F','~10대',2,60.85,0.62,2680,22
'2018-02','1438',' 홈플러스 신내점 앞','정기','F','~10대',1,28.75,0.31,1320,10
'2018-02','1601',' 석계역 문화광장 내 자전거 보관소','정기','F','~10대',1,20.4,0.26,1120,5
'2018-02','1623',' 노원 구민회관','정기','F','~10대',1,79.79,0.72,3100,23
'2018-02','1636',' 백병원 사거리 농협은행 앞','정기','F','~10대',6,290.34,2.62,11280,78
'2018-02','1637',' KT 노원점 건물 앞','정기','F','~10대',5,242.47,2.18,9420,78
'2018-02','1705',' 도봉구청 정문앞','정기','F','~10대',1,511.32,4.99,21520,105
'2018-02','220',' 미성아파트 A동 앞','정기','F','~10대',1,10.67,0.13,550,3
'2018-02','216',' 삼부아파트1동 앞','정기','F','~10대',3,75.29,0.89,3880,31
'2018-02','217',' NH농협은행 앞','정기','F','~10대',2,50.06,0.6,2580,20
'2018-02','1907',' 구일우성(아) 육교 밑','정기','F','~10대',2,30.13,0.41,1770,17
'2018-02','1908',' 해원리바파크 육교 밑','정기','F','~10대',2,29.96,0.4,1760,13
'2018-02','1911',' 구로디지털단지역 앞','정기','F','~10대',1,20.79,0.24,1050,10
'2018-02','1928',' 고척스카이돔구장 광장','정기','F','~10대',3,321.12,3.22,13860,100
'2018-02','2007',' 유한양행앞','정기','F','~10대',1,35.66,0.26,1140,11
'2018-02','2013',' 장승배기역 5번출구','정기','F','~10대',2,205.85,1.52,6580,54
'2018-02','2016',' 신대방삼거리역 3번출구쪽','정기','F','~10대',3,1744.57,13,56040,16
'2018-02','223',' 진주아파트상가 앞','정기','F','~10대',2,48.51,0.58,2500,14
'2018-02','2020',' 장승배기역2번출구뒷편쪽','정기','F','~10대',1,82.88,0.75,3220,32
'2018-02','2050',' 노량진역 5번출구','정기','F','~10대',1,19.08,0.14,610,5
'2018-02','2102',' 봉림교 교통섬','정기','F','~10대',1,207.42,2.03,8730,59
'2018-02','2103',' 신림동 우방아파트','정기','F','~10대',2,191.2,1.75,7520,94
'2018-02','2106',' 난곡 새마을금고','정기','F','~10대',1,87.12,0.64,2750,18
'2018-02','2144',' 난우길입구','정기','F','~10대',5,514.08,4.77,20550,197
'2018-02','2107',' 도림천 신화교','정기','F','~10대',2,117.22,0.86,3700,34
'2018-02','226',' 샛강역 1번출구 앞','정기','F','~10대',1,14.55,0.17,750,4
'2018-02','2140',' 신림1교 교차로','정기','F','~10대',1,139.77,1.26,5430,31
'2018-02','2009',' 보라매역 8번출구','정기','F','~10대',5,107.6,0.97,4180,22
'2018-02','2015',' 신대방삼거리역 6번출구쪽','정기','F','~10대',3,1376.93,14.59,62920,38
'2018-02','1619',' 중계동 하나프라자빌딩 앞(중1-1)','정기','F','~10대',6,380.18,3.42,14770,102
'2018-02','2214',' 신반포역 2번출구 앞','정기','F','~10대',1,74.13,0.67,2880,17
'2018-02','2220',' 반포본동 주민센터 앞','정기','F','~10대',1,131.69,1.71,7390,40
'2018-02','2228','뒷벌공원 옆','정기','F','~10대',2,154.96,1.4,6020,56
'2018-02','2230','이수역 4번 출구','정기','F','~10대',1,312.76,3.33,14360,104
'2018-02','2243','서울가정법원','정기','F','~10대',1,172.06,1.83,7900,44
'2018-02','2262',' 한신16차아파트 119동 앞','정기','F','~10대',1,974.58,12.69,54690,42
'2018-02','2348',' 포스코사거리(기업은행)','정기','F','~10대',1,76.67,0.56,2420,21
'2018-02','2332',' 선릉역3번출구','정기','F','~10대',1,0,0,0,8
'2018-02','2335',' 3호선 매봉역 3번출구앞','정기','F','~10대',2,247.1,2.22,9600,149
