대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이용시간
2020-02,3,중랑센터,일일(회원),M,AGE_003,5,129.72,1.09,4680,90
2020-02,3,중랑센터,정기,M,AGE_005,5,151.7,1.4,6080,101
2020-02,5,상암센터 정비실,일일(회원),\N,AGE_005,12,11.3,0.12,570,216
2020-02,5,상암센터 정비실,일일(회원),M,AGE_004,6,458.72,4.2,18100,198
2020-02,10,위트콤,일일(비회원),\N,AGE_008,1,\N,\N,0,11
2020-02,10,위트콤,정기,\N,AGE_002,1,\N,\N,0,27
2020-02,10,위트콤,정기,M,AGE_003,1,0,0,0,5
2020-02,101,101. (구)합정동 주민센터,단체,\N,AGE_003,2,251.54,1.84,7940,68
2020-02,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_002,8,928.52,8.42,36300,351
2020-02,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_003,9,670.07,6.48,27950,186
2020-02,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_004,1,100.68,0.79,3390,28
2020-02,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_008,1,31.92,0.29,1240,13
2020-02,101,101. (구)합정동 주민센터,일일(회원),,AGE_002,3,673.93,5.47,23570,187
2020-02,101,101. (구)합정동 주민센터,일일(회원),F,AGE_002,7,1582.12,18.87,81340,357
2020-02,101,101. (구)합정동 주민센터,일일(회원),F,AGE_003,2,187.93,2.43,10450,103
2020-02,101,101. (구)합정동 주민센터,일일(회원),M,AGE_002,3,194.88,1.51,6530,82
2020-02,101,101. (구)합정동 주민센터,일일(회원),M,AGE_003,4,704.44,5.92,25550,110
2020-02,101,101. (구)합정동 주민센터,정기,\N,AGE_001,2,75.68,0.68,2940,12
2020-02,101,101. (구)합정동 주민센터,정기,\N,AGE_002,88,6163.26,56.39,243090,1604
2020-02,101,101. (구)합정동 주민센터,정기,\N,AGE_003,4,88.26,0.77,3320,31
2020-02,101,101. (구)합정동 주민센터,정기,\N,AGE_004,4,372.31,2.49,10700,59
2020-02,101,101. (구)합정동 주민센터,정기,\N,AGE_005,3,2243.24,17.53,75530,60
2020-02,101,101. (구)합정동 주민센터,정기,,AGE_002,7,127.64,1.24,5380,136
2020-02,101,101. (구)합정동 주민센터,정기,F,AGE_002,18,742.2,7.3,31430,235
2020-02,101,101. (구)합정동 주민센터,정기,F,AGE_003,28,1005.58,10.14,43580,418
2020-02,101,101. (구)합정동 주민센터,정기,F,AGE_004,16,1414.15,14.28,61570,396
2020-02,101,101. (구)합정동 주민센터,정기,M,AGE_002,19,1054.65,7.18,30910,307
2020-02,101,101. (구)합정동 주민센터,정기,M,AGE_003,44,6659.98,48.91,210910,1205
2020-02,101,101. (구)합정동 주민센터,정기,M,AGE_004,8,2185.01,17.08,73670,212
2020-02,101,101. (구)합정동 주민센터,정기,M,AGE_005,14,1592.73,14.23,61390,134
2020-02,101,101. (구)합정동 주민센터,정기,M,AGE_006,10,544.41,4.9,21150,131
2020-02,101,101. (구)합정동 주민센터,정기,M,AGE_008,2,60.71,0.49,2100,10
2020-02,102,102. 망원역 1번출구 앞,단체,\N,AGE_001,5,1765.39,15.21,65560,371
2020-02,102,102. 망원역 1번출구 앞,단체,\N,AGE_002,2,213.84,2.61,11250,122
2020-02,102,102. 망원역 1번출구 앞,단체,\N,AGE_004,1,1596.28,16.12,69500,123
2020-02,102,102. 망원역 1번출구 앞,단체,,AGE_001,6,863.8,6.97,30010,379
2020-02,102,102. 망원역 1번출구 앞,단체,F,AGE_004,4,749.29,6.75,29110,183
2020-02,102,102. 망원역 1번출구 앞,단체,M,AGE_004,2,374.27,2.5,10740,76
2020-02,102,102. 망원역 1번출구 앞,일일(비회원),\N,AGE_008,20,5818.27,52.44,226040,1510
2020-02,102,102. 망원역 1번출구 앞,일일(비회원),F,AGE_008,1,157.53,1.42,6120,101
2020-02,102,102. 망원역 1번출구 앞,일일(비회원),M,AGE_008,1,157.79,1.42,6130,100
2020-02,102,102. 망원역 1번출구 앞,일일(회원),\N,AGE_001,10,882.28,8.07,34810,363
2020-02,102,102. 망원역 1번출구 앞,일일(회원),\N,AGE_002,83,7714.62,73.66,317460,2736
2020-02,102,102. 망원역 1번출구 앞,일일(회원),\N,AGE_003,14,1356.79,11.14,48010,666
2020-02,102,102. 망원역 1번출구 앞,일일(회원),\N,AGE_004,4,692.56,6.17,26600,260
2020-02,102,102. 망원역 1번출구 앞,일일(회원),\N,AGE_008,1,41.63,0.34,1460,6
2020-02,102,102. 망원역 1번출구 앞,일일(회원),,AGE_001,2,1663.67,15.01,64680,69
2020-02,102,102. 망원역 1번출구 앞,일일(회원),,AGE_002,5,584.59,5.31,22890,186
2020-02,102,102. 망원역 1번출구 앞,일일(회원),F,AGE_001,1,37.32,0.35,1520,9
2020-02,102,102. 망원역 1번출구 앞,일일(회원),F,AGE_002,34,7027.54,68.13,293720,1725
2020-02,102,102. 망원역 1번출구 앞,일일(회원),F,AGE_003,5,328.8,2.82,12170,141
2020-02,102,102. 망원역 1번출구 앞,일일(회원),F,AGE_004,4,173.54,2.16,9330,187
2020-02,102,102. 망원역 1번출구 앞,일일(회원),F,AGE_005,2,428.04,5.29,22810,117
2020-02,102,102. 망원역 1번출구 앞,일일(회원),M,AGE_001,4,371.04,2.83,12170,129
2020-02,102,102. 망원역 1번출구 앞,일일(회원),M,AGE_002,45,6698.01,56.16,241990,1599
2020-02,102,102. 망원역 1번출구 앞,일일(회원),M,AGE_003,20,1856.92,15.17,65360,584
2020-02,102,102. 망원역 1번출구 앞,일일(회원),M,AGE_004,1,524.62,4.27,18400,54
2020-02,102,102. 망원역 1번출구 앞,일일(회원),M,AGE_005,2,560.27,4.47,19290,165
2020-02,102,102. 망원역 1번출구 앞,정기,\N,AGE_001,5,159.01,1.69,7270,43
2020-02,102,102. 망원역 1번출구 앞,정기,\N,AGE_002,239,21379.38,180.47,777860,4281
2020-02,102,102. 망원역 1번출구 앞,정기,\N,AGE_003,90,12442.32,90.64,390520,2146
2020-02,102,102. 망원역 1번출구 앞,정기,\N,AGE_004,44,4530.06,39.77,171500,917
2020-02,102,102. 망원역 1번출구 앞,정기,\N,AGE_005,33,3077.47,23.96,103350,669
2020-02,102,102. 망원역 1번출구 앞,정기,\N,AGE_006,17,653.37,5.43,23380,154
2020-02,102,102. 망원역 1번출구 앞,정기,\N,AGE_008,11,2684.28,24.57,105950,293
2020-02,102,102. 망원역 1번출구 앞,정기,,AGE_002,38,3402.94,31.28,134880,668
2020-02,102,102. 망원역 1번출구 앞,정기,,AGE_003,20,4071.57,29.51,127190,513
2020-02,102,102. 망원역 1번출구 앞,정기,,AGE_004,3,193.1,1.19,5140,137
2020-02,102,102. 망원역 1번출구 앞,정기,,AGE_005,2,211.9,1.6,6860,45
2020-02,102,102. 망원역 1번출구 앞,정기,,AGE_006,7,250.19,2.26,9720,54
2020-02,102,102. 망원역 1번출구 앞,정기,F,AGE_002,76,4557.03,44.98,193750,1584
2020-02,102,102. 망원역 1번출구 앞,정기,F,AGE_003,82,11398.84,113.66,489960,1600
2020-02,102,102. 망원역 1번출구 앞,정기,F,AGE_004,24,3911.21,40.57,174880,493
2020-02,102,102. 망원역 1번출구 앞,정기,F,AGE_005,5,175.23,1.55,6690,146
2020-02,102,102. 망원역 1번출구 앞,정기,F,AGE_006,3,122.57,0.97,4240,40
2020-02,102,102. 망원역 1번출구 앞,정기,F,AGE_007,1,12.55,0.11,480,2
2020-02,102,102. 망원역 1번출구 앞,정기,M,AGE_002,108,22055.18,193.81,835250,2356
2020-02,102,102. 망원역 1번출구 앞,정기,M,AGE_003,119,15322.76,123.64,532680,3395
2020-02,102,102. 망원역 1번출구 앞,정기,M,AGE_004,58,11998.81,94.09,405690,1199
2020-02,102,102. 망원역 1번출구 앞,정기,M,AGE_005,19,2869.25,23.17,99790,302
2020-02,102,102. 망원역 1번출구 앞,정기,M,AGE_006,4,56.79,0.55,2390,29
2020-02,102,102. 망원역 1번출구 앞,정기,M,AGE_007,1,32.79,0.21,920,42
2020-02,102,102. 망원역 1번출구 앞,정기,M,AGE_008,1,39.07,0.33,1430,10
2020-02,103,103. 망원역 2번출구 앞,단체,F,AGE_003,1,0,0,0,16
2020-02,103,103. 망원역 2번출구 앞,단체,F,AGE_004,2,288.88,3.39,14590,122
2020-02,103,103. 망원역 2번출구 앞,일일(비회원),\N,AGE_008,16,2198.73,19.83,85420,758
2020-02,103,103. 망원역 2번출구 앞,일일(회원),\N,AGE_001,3,935.94,8.71,37500,204
2020-02,103,103. 망원역 2번출구 앞,일일(회원),\N,AGE_002,39,6543.42,61.89,266800,1561
