"대여일자","대여소번호","대여소명","대여구분코드","성별","연령대코드","이용건수","운동량","탄소량","이동거리(M)","이용시간(분)"
"2020-12","00003","중랑센터","일일(회원)","F","AGE_004","1","0.00","0.00","0.00","111"
"2020-12","00003","중랑센터","일일(회원)","M","AGE_003","2","34.10","0.29","1230.00","28"
"2020-12","00003","중랑센터","정기","F","AGE_003","1","0.00","0.00","0.00","24"
"2020-12","00003","중랑센터","정기","M","AGE_003","1","0.00","0.00","0.00","7"
"2020-12","00005","상암센터 정비실","일일(회원)","M","AGE_004","14","127.78","1.17","5042.01","259"
"2020-12","00005","상암센터 정비실","정기",\N,"AGE_008","1","0.00","0.00","0.00","45"
"2020-12","00010","위트콤","단체",\N,"AGE_003","1","0.00","0.00","0.00","12"
"2020-12","00010","위트콤","일일(회원)","M","AGE_003","1","0.00","0.00","0.00","62"
"2020-12","00010","위트콤","일일(회원)","M","AGE_004","12","12.64","0.12","532.21","89"
"2020-12","00010","위트콤","일일(회원)","M","AGE_008","4","0.00","0.00","0.00","256"
"2020-12","00010","위트콤","정기",\N,"AGE_004","3","0.00","0.00","0.00","30"
"2020-12","00010","위트콤","정기",\N,"AGE_008","8","0.00","0.00","0.00","78"
"2020-12","00010","위트콤","정기","M","AGE_002","5","0.00","0.00","0.00","146"
"2020-12","00010","위트콤","정기","M","AGE_003","31","45.88","0.29","1316.75","519"
"2020-12","00010","위트콤","정기","M","AGE_004","7","0.01","0.00","0.26","33"
"2020-12","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_002","8","0.00","0.00","0.00","304"
"2020-12","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_003","8","104.46","1.05","4519.99","153"
"2020-12","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_004","1","0.00","0.00","0.00","18"
"2020-12","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_002","3","385.27","4.03","17373.14","215"
"2020-12","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_003","1","0.00","0.00","0.00","67"
"2020-12","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_005","2","0.00","0.00","0.00","55"
"2020-12","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_001","3","0.00","0.00","0.00","99"
"2020-12","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_002","7","345.15","2.91","12527.75","276"
"2020-12","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_003","1","92.87","0.84","3608.01","22"
"2020-12","00101","101. (구)합정동 주민센터","정기",\N,"AGE_001","2","0.00","0.00","0.00","69"
"2020-12","00101","101. (구)합정동 주민센터","정기",\N,"AGE_002","76","669.04","4.39","18926.23","1592"
"2020-12","00101","101. (구)합정동 주민센터","정기",\N,"AGE_003","12","76.13","0.64","2775.38","312"
"2020-12","00101","101. (구)합정동 주민센터","정기",\N,"AGE_004","8","84.92","0.74","3200.68","193"
"2020-12","00101","101. (구)합정동 주민센터","정기",\N,"AGE_005","37","0.00","0.00","0.00","980"
"2020-12","00101","101. (구)합정동 주민센터","정기",\N,"AGE_006","1","0.00","0.00","0.00","48"
"2020-12","00101","101. (구)합정동 주민센터","정기","","AGE_002","14","273.46","2.77","11929.24","479"
"2020-12","00101","101. (구)합정동 주민센터","정기","","AGE_006","1","48.73","0.44","1893.10","20"
"2020-12","00101","101. (구)합정동 주민센터","정기","F","AGE_002","56","380.53","3.90","16771.34","1176"
"2020-12","00101","101. (구)합정동 주민센터","정기","F","AGE_003","99","390.75","3.95","16947.95","1191"
"2020-12","00101","101. (구)합정동 주민센터","정기","F","AGE_004","35","404.20","3.61","15570.91","2305"
"2020-12","00101","101. (구)합정동 주민센터","정기","F","AGE_005","9","22.66","0.23","970.00","272"
"2020-12","00101","101. (구)합정동 주민센터","정기","M","AGE_001","4","0.00","0.00","0.00","122"
"2020-12","00101","101. (구)합정동 주민센터","정기","M","AGE_002","21","155.04","1.49","6396.98","553"
"2020-12","00101","101. (구)합정동 주민센터","정기","M","AGE_003","69","2128.33","16.89","72793.57","1897"
"2020-12","00101","101. (구)합정동 주민센터","정기","M","AGE_004","34","1913.94","16.74","72186.71","1222"
