대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이용거리(M),이용시간(본)
"2021-09","00003","중랑센터","일일(회원)",\N,"AGE_003","1","179.45","1.84","7950.00","81"
"2021-09","00003","중랑센터","일일(회원)","M","AGE_005","1","0.00","0.00","0.00","20"
"2021-09","00003","중랑센터","일일(회원)","M","AGE_008","1","34.53","0.27","1178.47","26"
"2021-09","00003","중랑센터","정기",\N,"AGE_005","2","28.18","0.23","988.24","13"
"2021-09","00003","중랑센터","정기","M","AGE_002","4","358.93","3.23","13944.28","95"
"2021-09","00003","중랑센터","정기","M","AGE_003","1","104.57","0.83","3568.50","31"
"2021-09","00003","중랑센터","정기","M","AGE_005","2","163.44","1.43","6160.00","27"
"2021-09","00003","중랑센터","정기","M","AGE_008","1","25.61","0.22","937.09","6"
"2021-09","00005","상암센터 정비실","일일(회원)","M","AGE_004","7","644.12","5.55","23920.00","141"
"2021-09","00102","102. 망원역 1번출구 앞","단체",\N,"AGE_001","1","56.46","0.62","2690.00","15"
"2021-09","00102","102. 망원역 1번출구 앞","단체",\N,"AGE_002","3","260.04","2.35","10102.52","122"
"2021-09","00102","102. 망원역 1번출구 앞","단체","","AGE_002","1","6.76","0.08","341.24","2"
"2021-09","00102","102. 망원역 1번출구 앞","단체","F","AGE_002","5","342.41","3.57","15436.06","296"
"2021-09","00102","102. 망원역 1번출구 앞","단체","F","AGE_003","12","598.95","5.66","24423.56","633"
"2021-09","00102","102. 망원역 1번출구 앞","단체","F","AGE_004","13","1620.38","16.03","69054.94","718"
"2021-09","00102","102. 망원역 1번출구 앞","단체","F","AGE_006","2","150.23","1.69","7295.45","243"
"2021-09","00102","102. 망원역 1번출구 앞","단체","F","AGE_008","2","386.98","3.91","16848.65","179"
"2021-09","00102","102. 망원역 1번출구 앞","단체","M","AGE_001","3","675.05","5.64","24352.65","141"
"2021-09","00102","102. 망원역 1번출구 앞","단체","M","AGE_002","6","239.36","2.35","10183.10","108"
"2021-09","00102","102. 망원역 1번출구 앞","단체","M","AGE_003","1","169.46","1.53","6583.58","49"
"2021-09","00102","102. 망원역 1번출구 앞","단체","M","AGE_004","1","163.92","1.20","5174.32","37"
"2021-09","00102","102. 망원역 1번출구 앞","단체","M","AGE_008","4","124.10","1.12","4829.05","46"
"2021-09","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"AGE_004","1","0.00","0.00","0.00","7"
"2021-09","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"AGE_008","90","11598.72","104.55","450609.27","6107"
"2021-09","00102","102. 망원역 1번출구 앞","일일(비회원)","F","AGE_008","4","208.58","1.89","8103.06","104"
"2021-09","00102","102. 망원역 1번출구 앞","일일(비회원)","M","AGE_008","2","42.47","0.38","1650.00","57"
"2021-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_001","13","737.62","7.24","31169.57","502"
"2021-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_002","297","26897.80","254.07","1095238.42","13140"
"2021-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_003","71","5914.58","48.90","210787.33","2073"
"2021-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_004","23","1945.42","17.48","75176.72","834"
"2021-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_005","9","423.38","3.86","16538.23","398"
"2021-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_006","1","0.00","0.00","0.00","69"
"2021-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_008","9","536.64","5.02","21590.17","358"
"2021-09","00102","102. 망원역 1번출구 앞","일일(회원)","","AGE_001","5","497.74","4.61","19845.78","283"
