대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
"2022-04","00003","중랑센터","일일(회원)","F","20대","1","0.00","0.00","0.00","5"
"2022-04","00003","중랑센터","정기",\N,"20대","18","715.07","7.36","31679.93","185"
"2022-04","00003","중랑센터","정기","M","20대","1","109.14","0.98","4240.00","21"
"2022-04","00003","중랑센터","정기","M","40대","19","1606.72","12.15","52414.56","419"
"2022-04","00003","중랑센터","정기","M","50대","11","527.50","4.38","18863.18","411"
"2022-04","00003","중랑센터","정기","M","60대","1","241.70","2.18","9390.00","40"
"2022-04","00003","중랑센터","정기","M","기타","1","233.62","1.98","8550.00","39"
"2022-04","00005","상암센터 정비실","단체",\N,"20대","1","107.16","0.86","3706.78","62"
"2022-04","00005","상암센터 정비실","일일(비회원)",\N,"기타","1","244.76","2.21","9509.06","99"
"2022-04","00005","상암센터 정비실","일일(회원)",\N,"20대","2","47.78","0.50","2154.41","23"
"2022-04","00005","상암센터 정비실","일일(회원)",\N,"30대","1","42.77","0.28","1199.95","13"
"2022-04","00005","상암센터 정비실","일일(회원)","F","20대","2","81.21","0.84","3606.92","26"
"2022-04","00005","상암센터 정비실","일일(회원)","F","30대","1","116.86","1.05","4540.00","99"
"2022-04","00005","상암센터 정비실","일일(회원)","F","기타","1","189.13","1.85","7960.00","100"
"2022-04","00005","상암센터 정비실","일일(회원)","M","10대","1","188.47","1.70","7322.02","40"
"2022-04","00005","상암센터 정비실","일일(회원)","M","20대","1","33.46","0.30","1300.00","15"
"2022-04","00005","상암센터 정비실","일일(회원)","M","40대","5","601.30","5.18","22329.94","154"
"2022-04","00005","상암센터 정비실","정기",\N,"10대","1","73.80","0.57","2452.22","14"
"2022-04","00005","상암센터 정비실","정기",\N,"40대","1","0.00","0.00","0.00","0"
"2022-04","00005","상암센터 정비실","정기",\N,"50대","2","585.70","5.27","22754.73","106"
"2022-04","00005","상암센터 정비실","정기","F","30대","2","139.31","1.05","4557.22","32"
"2022-04","00005","상암센터 정비실","정기","F","40대","1","39.01","0.46","1970.00","13"
"2022-04","00005","상암센터 정비실","정기","M","40대","2","0.00","0.00","0.00","11"
"2022-04","00005","상암센터 정비실","정기","M","50대","2","106.70","1.19","5121.96","28"
"2022-04","00005","상암센터 정비실","정기","M","기타","2","403.96","3.39","14592.77","102"
"2022-04","00010","위트콤","정기",\N,"40대","1","386202.07","3057.56","0.00","12"
"2022-04","00011","위트콤공장","정기","M","20대","2","0.00","0.00","0.00","28"
"2022-04","00102","102. 망원역 1번출구 앞","단체",\N,"10대","2","152.64","1.42","6118.18","126"
"2022-04","00102","102. 망원역 1번출구 앞","단체",\N,"20대","18","1554.03","12.55","54112.87","570"
"2022-04","00102","102. 망원역 1번출구 앞","단체",\N,"30대","6","284.88","2.13","9176.60","70"
"2022-04","00102","102. 망원역 1번출구 앞","단체","F","10대","2","226.79","2.05","8810.71","114"
"2022-04","00102","102. 망원역 1번출구 앞","단체","F","20대","4","312.50","3.55","15289.27","115"
"2022-04","00102","102. 망원역 1번출구 앞","단체","F","30대","12","945.55","8.54","36735.13","1015"
"2022-04","00102","102. 망원역 1번출구 앞","단체","F","40대","3","343.87","3.54","15234.52","186"
"2022-04","00102","102. 망원역 1번출구 앞","단체","F","기타","5","561.39","5.35","23100.76","207"
"2022-04","00102","102. 망원역 1번출구 앞","단체","M","10대","1","46.02","0.39","1660.00","10"
"2022-04","00102","102. 망원역 1번출구 앞","단체","M","20대","6","487.68","3.60","15545.16","130"
"2022-04","00102","102. 망원역 1번출구 앞","단체","M","30대","2","82.69","0.65","2784.21","19"
"2022-04","00102","102. 망원역 1번출구 앞","단체","M","기타","11","909.94","8.60","37046.26","280"
"2022-04","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"20대","1","50.35","0.45","1955.91","14"
"2022-04","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"기타","104","13504.99","121.70","524668.30","5262"
"2022-04","00102","102. 망원역 1번출구 앞","일일(비회원)","F","기타","1","45.05","0.41","1750.00","16"
"2022-04","00102","102. 망원역 1번출구 앞","일일(비회원)","M","기타","1","303.79","2.74","11802.39","235"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"10대","15","1814.34","15.24","65658.88","516"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"20대","301","28876.59","271.38","1169938.87","10973"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"30대","87","10879.43","97.93","421944.76","3813"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"40대","14","1186.36","10.53","45349.90","411"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"50대","3","330.42","2.73","11774.58","97"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"70대이상","1","83.80","0.98","4232.37","66"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"기타","11","1044.98","12.59","54296.27","579"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","","10대","2","181.01","1.69","7270.00","58"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","","20대","41","3571.16","31.22","134711.20","1333"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","","30대","11","727.49","5.89","25390.13","189"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","","40대","2","102.24","0.94","4076.46","37"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","","60대","1","52.51","0.47","2040.00","15"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","F","10대","13","999.33","10.03","43252.23","503"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","F","20대","273","23575.13","233.33","1005820.82","11190"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","F","30대","79","7179.27","71.58","308473.79","3563"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","F","40대","17","1647.02","18.07","77882.55","778"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","F","50대","6","486.44","4.65","20020.75","234"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","F","60대","2","214.43","2.23","9585.45","61"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","F","70대이상","2","568.59","4.75","20511.67","83"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","F","기타","35","3365.04","31.20","134579.55","1285"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","M","10대","16","1417.99","12.86","55392.69","531"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","M","20대","219","20858.26","173.48","747624.59","7658"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","M","30대","82","10377.97","80.84","348470.37","2869"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","M","40대","25","2969.60","22.58","97312.07","844"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","M","50대","5","530.63","3.99","17187.58","127"
"2022-04","00102","102. 망원역 1번출구 앞","일일(회원)","M","60대","2","148.45","1.24","5334.04","41"
