번호,신고일,구정보,주소,유형,조치일
1,2021-07-15,동작구,서울특별시 동작구 상도동 215-45,"점자블록, 엘리베이터 입구",2021-07-15
2,2021-07-15,동작구,서울특별시 동작구 상도동 172-28,보도 중앙,2021-07-15
3,2021-07-15,동작구,서울특별시 동작구 대방동 356-2,"버스정류장, 택시 승강장",2021-07-15
4,2021-07-15,동작구,서울특별시 동작구 대방동 354-1,"버스정류장, 택시 승강장",2021-07-15
5,2021-07-15,동작구,서울특별시 동작구 신대방동 460-30,보도와 차도가 구분된 도로의 차도,2021-07-15
6,2021-07-15,동작구,서울특별시 동작구 노량진동 54-3,"버스정류장, 택시 승강장",2021-07-15
7,2021-07-15,동작구,서울특별시 동작구 노량진동 231-2,보도와 차도가 구분된 도로의 차도,2021-07-15
8,2021-07-15,영등포구,서울특별시 영등포구 영등포동1가 97-4,보도 중앙,2021-07-15
9,2021-07-15,영등포구,서울특별시 영등포구 여의도동 84-10,보도와 차도가 구분된 도로의 차도,2021-07-15
10,2021-07-15,동작구,서울특별시 동작구 상도동 159-275,기타,2021-07-20
11,2021-07-15,영등포구,서울특별시 영등포구 문래동6가 45-1,"횡단보도, 산책로 등",2021-07-15
12,2021-07-15,영등포구,서울특별시 영등포구 신길동 4877,"점자블록, 엘리베이터 입구",2021-07-15
13,2021-07-15,동작구,서울특별시 동작구 사당동 1112,기타,2021-07-21
14,2021-07-15,동작구,서울특별시 동작구 상도동 521-15,보도와 차도가 구분된 도로의 차도,2021-07-15
15,2021-07-15,영등포구,서울특별시 영등포구 신길동 4209,"횡단보도, 산책로 등",2021-07-15
16,2021-07-15,영등포구,서울특별시 영등포구 여의도동 4-5,"점자블록, 엘리베이터 입구",2021-07-15
17,2021-07-15,영등포구,서울특별시 영등포구 여의도동 2-7,보도 중앙,2021-07-15
18,2021-07-15,동작구,서울특별시 동작구 사당동 1112,"건물, 상가 보행자 진출입",2021-07-15
19,2021-07-15,영등포구,서울특별시 영등포구 여의도동 17-1,"버스정류장, 택시 승강장",2021-07-15
20,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-5,"버스정류장, 택시 승강장",2021-07-15
21,2021-07-15,마포구,서울특별시 마포구 연남동 260-65,보도와 차도가 구분된 도로의 차도,2021-07-15
22,2021-07-15,영등포구,서울특별시 영등포구 신길동 205-270,보도와 차도가 구분된 도로의 차도,2021-07-15
23,2021-07-15,영등포구,서울특별시 영등포구 신길동 4934-12,"횡단보도, 산책로 등",2021-07-15
24,2021-07-15,영등포구,서울특별시 영등포구 여의도동 12,보도 중앙,2021-07-15
25,2021-07-15,마포구,서울특별시 마포구 연남동 482-21,보도와 차도가 구분된 도로의 차도,2021-07-15
26,2021-07-15,영등포구,서울특별시 영등포구 신길동 50-4,소방시설 5m 이내 구역,2021-07-15
27,2021-07-15,동작구,서울특별시 동작구 사당동 1043-15,기타,2021-07-15
28,2021-07-15,영등포구,서울특별시 영등포구 영등포동1가 95-2,"버스정류장, 택시 승강장",2021-07-15
29,2021-07-15,동작구,서울특별시 동작구 사당동 1107,기타,2021-07-21
30,2021-07-15,동작구,서울특별시 동작구 흑석동 224-8,"버스정류장, 택시 승강장",2021-07-15
31,2021-07-15,마포구,서울특별시 마포구 상암동 1709,기타,2021-07-15
32,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-3,보도와 차도가 구분된 도로의 차도,2021-07-15
33,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-3,보도와 차도가 구분된 도로의 차도,2021-07-15
34,2021-07-15,영등포구,서울특별시 영등포구 여의도동 1-3,"버스정류장, 택시 승강장",2021-07-15
35,2021-07-15,영등포구,서울특별시 영등포구 신길동 4209,"횡단보도, 산책로 등",2021-07-15
36,2021-07-16,영등포구,서울특별시 영등포구 문래동5가 6,보도와 차도가 구분된 도로의 차도,2021-07-16
37,2021-07-16,동작구,서울특별시 동작구 상도동 235-8,"버스정류장, 택시 승강장",2021-07-16
38,2021-07-16,마포구,서울특별시 마포구 합정동 373-39,"점자블록, 엘리베이터 입구",2021-07-16
39,2021-07-16,영등포구,서울특별시 영등포구 여의도동 4,소방시설 5m 이내 구역,2021-07-16
