연번,전동킥보드 주차구역,법정동,데이터기준일자
1,발산역 8번 출구(마곡동 727-1222),마곡동,2025-08-01
2,마곡역 3번출구(마곡동 727-1428),마곡동,2025-08-01
3,마곡역 6번 출구(마곡동 728-163),마곡동,2025-08-01
4,마곡역 5번 출구(마곡동 721-4),마곡동,2025-08-01
5,마곡역 4번 출구(마곡동 728-190),마곡동,2025-08-01
6,마곡나루역 1번 출구(마곡동 760-3),마곡동,2025-08-01
7,마곡나루역 2번 출구(마곡동 760-3),마곡동,2025-08-01
8,마곡광장 입구(마곡중앙5로 지하9),마곡동,2025-08-01
9,마곡나루역 4번 출구(마곡동 728-190),마곡동,2025-08-01
10,발산역 1번 출구(마곡동 727-1221),마곡동,2025-08-01
11,발산역 4번 출구(등촌동 673-1),등촌동,2025-08-01
12,"발산 9번, 마곡 3번 출구 사이(공항대로 227 앞)",마곡동,2025-08-01
13,가양역 7번출구(화곡로 416),등촌동,2025-08-01
14,가양역 8번 출구 앞(등촌동 78-7),등촌동,2025-08-01
15,"가양역 6, 7번 출구 사이(등촌동 666-2)",등촌동,2025-08-01
16,등촌역 1번 출구(등촌동 648-4),등촌동,2025-08-01
17,"증미역 1,2번 출구 사이(가양동 449-30)",가양동,2025-08-01
18,마곡역 1번 출구(마곡동 727-1428 부근),마곡동,2025-08-01
19,마곡역 2번 출구(공항대로 지하 163),마곡동,2025-08-01
20,방화역 1번 출구(방화동 830-8),방화동,2025-08-01
21,등촌역 3번 출구 부근(공항대로 571),염창동,2025-08-01
22,등촌역 8번 출구(등촌동 505-3),등촌동,2025-08-01
23,마곡나루역 5번 출구(마곡동 373-12),마곡동,2025-08-01
24,양천향교역 8번 출구(마곡동 776-2),마곡동,2025-08-01
25,태기산더덕순대 마곡점 앞(공항대로 195),마곡동,2025-08-01
26,할리스 마곡나인스퀘어점 앞(공항대로 206),마곡동,2025-08-01
27,퀸공인중개사사무소 앞(공항대로 213),마곡동,2025-08-01
28,남다른감자탕 마곡점 앞(공항대로 228),마곡동,2025-08-01
29,밀화당 강서직영점 앞(공항대로 236),마곡동,2025-08-01
30,달래고통닭 발산본점 앞(공항대로 247),마곡동,2025-08-01
31,이대서울병원 앞(공항대로 260),마곡동,2025-08-01
32,LG사이언스파크 E8동 앞(마곡중앙10로 30),마곡동,2025-08-01
33,더리브골드타워 앞(양천로 400-12),등촌동,2025-08-01
34,라브리지헤어 앞(화곡로 374),등촌동,2025-08-01
