연번,위치,행정동,설치연도,
1.0,대흥역 1번 출구,서울특별시 마포구 대흥동 216-4,2022.0,
2.0,마포구청역 3번 출구,서울특별시 마포구 성산동 592-6,2022.0,
3.0,아현역 4번 출구,서울특별시 마포구 아현동 329-15,2022.0,
4.0,신촌역 7번 출구,서울특별시 마포구 노고산동 57-2,2022.0,
5.0,망원역 2번 출구,서울특별시 마포구 망원동 377-18,2022.0,
6.0,공덕역 5번 출구,서울특별시 마포구 공덕동 255-10,2022.0,
7.0,광흥창역 5번 출구,서울특별시 마포구 창전동 146-6,2022.0,
8.0,애오개역 4번 출구,서울특별시 마포구 아현동 607-1,2022.0,
9.0,이대역 5번 출구,서울특별시 마포구 대흥동 2-6,2022.0,
10.0,마포구청역 5번 출구,서울특별시 마포구 성산동 266-1,2022.0,
11.0,합정역 9번,서울특별시 마포구 서교동,2021.0,
12.0,합정역10번,서울특별시 마포구 서교동,2021.0,
13.0,합정역 8번,서울특별시 마포구 합정동,2021.0,
14.0,합정역 8번,서울특별시 마포구 합정동,2021.0,
15.0,합정역 7번,서울특별시 마포구 합정동,2021.0,
16.0,홍대입구역 7번,서울특별시 마포구 동교동,2021.0,
17.0,홍대입구역 4번,서울특별시 마포구 동교동,2021.0,
18.0,홍대입구역 8번,서울특별시 마포구 동교동,2021.0,
19.0,홍대입구역 3번,서울특별시 마포구 동교동,2021.0,
20.0,홍대입구역 2번,서울특별시 마포구 동교동,2021.0,
21.0,홍대입구역 1번,서울특별시 마포구 동교동,2021.0,
