일시,대여소,대여건수,반납건수
202107,1004. 삼성광나루아파트 버스정류장,0,1
202107,1011. LIGA 아파트 앞,1,1
202107,1014. 강동구평생학습관앞,3,2
202107,1019. 다성이즈빌아파트(호원대 대각선 맞은편),1,1
202107,102. 망원역 1번출구 앞,4,3
202107,1024.  강동구청 앞,1,1
202107,103. 망원역 2번출구 앞,9,4
202107,1030. 미호 플랜트 앞,0,1
202107,1039. 고덕초등학교,1,0
202107,104. 합정역 1번출구 앞,6,2
202107,105. 합정역 5번출구 앞,3,2
202107,106. 합정역 7번출구 앞,14,13
202107,107. 신한은행 서교동금융센터점 앞,1,4
202107,1072.고덕역 5번출구,0,1
202107,1074.대명초교입구 사거리,0,1
202107,1078.둔촌사거리,3,0
202107,108. 서교동 사거리,4,2
202107,1086.래미안 솔베뉴(구천면로),2,2
202107,109. 제일빌딩 앞,5,4
202107,111. 상수역 2번출구 앞,6,6
202107,1110. 공항중학교앞,1,1
202107,1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔),1,0
202107,112. 극동방송국 앞,3,7
202107,1122. 황금내근린공원,1,0
202107,1129. 화곡역 1번 출구 앞,1,0
202107,113. 홍대입구역 2번출구 앞,1,7
202107,1132. 등촌역 7번출구,1,1
202107,114. 홍대입구역 8번출구 앞,18,12
202107,115. 마스타 빌딩 앞,5,6
202107,1150. 송정역 1번출구,1,0
202107,1155. 기쁜우리복지관,0,3
202107,1158. 가양역 8번출구,2,4
202107,116. 일진아이윌아파트 옆,2,5
202107,1160. 양천향교역 7번출구앞,1,1
202107,1167. 마곡수명산파크3단지 교차로,1,2
202107,1169. 염창역 1번 출구,1,1
202107,117. 홍은사거리,6,1
202107,118. 광흥창역 2번출구 앞,1,1
202107,119. 서강나루 공원,1,2
202107,1197. 엠펠리체 호텔 건너편,2,2
202107,120. 신수동 사거리,0,1
202107,1205. 종합운동장역 4번출구,0,1
202107,1208. 풍납현대아파트쉼터,4,0
202107,1209. 잠실나루역 (2번 출구 쪽),5,3
202107,121. 마포소방서 앞,2,0
202107,1210. 롯데월드타워(잠실역2번출구 쪽),13,8
202107,1211. 방이삼거리,2,3
202107,1212. 송파역 2번 출구앞,1,0
202107,1218. 방이역 4번출구,2,0
202107,1221. 삼전사거리 포스코더샵,3,1
202107,1222. 잠실새내역 5번 출구 뒤,1,1
202107,1224. 아시아지하보도 2번 출구,5,6
202107,123. 문화촌 공원,3,2
202107,1231. 잠실역 6번출구,1,2
202107,1232. 롯데마트 주차장 옆,3,3
202107,124. 서강대 정문 건너편,0,2
202107,1243. 문정 법조단지7,0,1
