"년월","대여소명","대여건수","반납건수"
"202307","1001. 광진교 남단 사거리(천호공원 방면)","2","0"
"202307","1002. 해공공원(천호동)","1","2"
"202307","1003. 해공도서관앞","0","1"
"202307","1004. 삼성광나루아파트 버스정류장","2","3"
"202307","1009. 천호역4번출구(현대백화점)","0","2"
"202307","1013. 강동구청역 1번 출입구","1","0"
"202307","102. 망원역 1번출구 앞","16","10"
"202307","1020. 강동경찰서","8","3"
"202307","1021. 강일동 리슈빌 빌딩앞","1","1"
"202307","1024.  강동구청 앞","3","2"
"202307","1029. 성내어울터","5","7"
"202307","103. 망원역 2번출구 앞","12","8"
"202307","1030. 미호 플랜트 앞","2","2"
"202307","1035. 고덕역 4번출구","0","1"
"202307","104. 합정역 1번출구 앞","16","3"
"202307","1044. 굽은다리역","1","5"
"202307","105. 합정역 5번출구 앞","7","4"
"202307","1059. 래미안 강동팰리스(102동)","2","0"
"202307","106. 합정역 7번출구 앞","21","25"
"202307","107. 신한은행 서교동지점","14","12"
"202307","1076. 천동초교입구사거리 버스정류장(십자성마을 방면)","2","2"
"202307","1077.강동역 1번출구 앞","1","0"
"202307","108. 서교동 사거리","25","25"
"202307","1081.트레빌빌딩","2","3"
"202307","1084. 윤선생빌딩(JYP사옥)","5","1"
"202307","109. 제일빌딩 앞","9","6"
"202307","1103. 방화역 4번출구앞","0","3"
"202307","111. 상수역 2번출구 앞","7","23"
"202307","1117. 등촌5단지아파트 버스정류장","5","1"
"202307","1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔)","3","0"
"202307","112. 극동방송국 앞","18","21"
"202307","1120. 대림경동아파트앞","0","2"
"202307","1121. 가양레포츠센터 앞","1","3"
"202307","1122. 황금내근린공원","3","3"
"202307","1129. 화곡역 1번 출구 앞","1","1"
"202307","113. 홍대입구역 2번출구 앞","27","27"
"202307","114. 홍대입구역 8번출구 앞","24","29"
"202307","1141. 곰달래 문화복지센터 A","1","0"
"202307","115. 마스타 빌딩 앞","11","9"
"202307","1151. 마곡역1번출구","2","1"
"202307","1153. 발산역 1번, 9번 인근 대여소","7","7"
"202307","1155. 기쁜우리복지관","1","1"
"202307","1158. 가양역 8번출구","1","0"
"202307","1160. 양천향교역 7번출구앞","9","13"
"202307","1166. 강서구립등빛도서관","3","3"
"202307","1169. 염창역 1번 출구","0","1"
"202307","117. 홍은사거리","5","2"
"202307","1173. 강서구청사거리(SH타워)","3","7"
"202307","1175. 대한항공 인력개발센터","2","2"
"202307","118. 광흥창역 2번출구 앞","3","4"
"202307","1180. 마곡엠밸리 15단지(1502동) 건너편","0","1"
"202307","1185. 등촌9단지","0","3"
"202307","119. 서강나루 공원","20","21"
"202307","1192. 마곡수명산파크 209동 건너편","2","10"
"202307","1193. 마곡센트럴타워 1차","0","2"
"202307","1195. 코오롱One&Only타워","0","1"
"202307","1196. 서울식물원(문화센터) 건너편","1","0"
"202307","1197. 엠펠리체 호텔 건너편","3","2"
"202307","120. 신수동 사거리","3","2"
"202307","1201. 가락시장역 3번 출구","2","0"
"202307","1203. 밀리아나2빌딩 앞","2","1"
"202307","1205. 종합운동장역 4번출구","5","5"
"202307","1209. 잠실나루역 (2번 출구 쪽)","5","4"
"202307","121. 마포소방서 앞","0","2"
"202307","1210. 롯데월드타워(잠실역2번출구 쪽)","20","18"
