년월,대여소명,대여건수,반납건수
2025-01,\N,0,2
2025-01,ST-10,3,2
2025-01,ST-103,1,0
2025-01,ST-105,2,0
2025-01,ST-1062,1,0
2025-01,ST-1065,2,3
2025-01,ST-1069,1,0
2025-01,ST-107,0,2
2025-01,ST-1070,0,1
2025-01,ST-1078,2,0
2025-01,ST-1087,2,7
2025-01,ST-109,0,1
2025-01,ST-1109,2,1
2025-01,ST-111,2,2
2025-01,ST-112,0,3
2025-01,ST-1147,1,1
2025-01,ST-1149,1,1
2025-01,ST-1164,1,0
2025-01,ST-1168,1,0
2025-01,ST-1169,1,0
2025-01,ST-1171,1,0
2025-01,ST-1172,1,0
2025-01,ST-1174,0,1
2025-01,ST-118,4,2
2025-01,ST-119,1,1
2025-01,ST-1193,3,1
2025-01,ST-1195,1,0
2025-01,ST-1199,16,15
2025-01,ST-1210,1,0
2025-01,ST-1227,1,0
2025-01,ST-1249,1,1
2025-01,ST-1251,1,0
2025-01,ST-126,0,1
2025-01,ST-1268,1,1
2025-01,ST-1269,1,2
2025-01,ST-1279,1,0
2025-01,ST-130,0,5
2025-01,ST-1317,0,1
2025-01,ST-1323,1,0
2025-01,ST-1325,0,1
2025-01,ST-1326,0,4
2025-01,ST-1344,0,4
2025-01,ST-136,0,1
2025-01,ST-137,6,2
2025-01,ST-1370,0,1
2025-01,ST-138,2,0
2025-01,ST-140,5,3
2025-01,ST-142,3,5
2025-01,ST-143,2,2
2025-01,ST-1432,2,1
2025-01,ST-1433,1,0
2025-01,ST-1435,2,2
2025-01,ST-1437,2,1
2025-01,ST-1438,1,2
2025-01,ST-1439,1,1
2025-01,ST-1440,3,0
2025-01,ST-1441,1,0
2025-01,ST-1445,0,2
2025-01,ST-1446,4,4
2025-01,ST-145,4,1
2025-01,ST-1461,0,1
2025-01,ST-1467,1,0
2025-01,ST-147,2,0
2025-01,ST-148,1,0
2025-01,ST-1495,0,1
2025-01,ST-15,1,1
2025-01,ST-151,1,0
2025-01,ST-152,4,5
2025-01,ST-1521,1,0
2025-01,ST-153,1,0
2025-01,ST-1545,2,0
2025-01,ST-1546,0,2
2025-01,ST-1554,1,1
2025-01,ST-1555,0,2
2025-01,ST-1556,1,1
2025-01,ST-156,1,0
2025-01,ST-157,1,0
2025-01,ST-1576,2,0
2025-01,ST-158,1,0
2025-01,ST-1599,1,1
2025-01,ST-160,0,1
2025-01,ST-1605,1,3
2025-01,ST-1606,6,4
2025-01,ST-1607,1,0
2025-01,ST-1609,1,0
2025-01,ST-1610,0,2
2025-01,ST-1611,0,1
2025-01,ST-1617,0,1
2025-01,ST-162,3,1
2025-01,ST-163,1,5
2025-01,ST-1632,0,1
2025-01,ST-1636,0,1
2025-01,ST-1649,0,2
2025-01,ST-1661,1,1
2025-01,ST-1670,0,1
2025-01,ST-1675,0,2
2025-01,ST-1677,1,0
2025-01,ST-1679,1,1
2025-01,ST-1680,1,0
2025-01,ST-1688,0,1
2025-01,ST-1694,2,0
2025-01,ST-1705,4,4
2025-01,ST-171,0,1
2025-01,ST-172,1,0
2025-01,ST-1729,2,1
2025-01,ST-1735,0,1
2025-01,ST-175,2,0
2025-01,ST-1753,0,1
2025-01,ST-1754,0,1
2025-01,ST-1756,1,0
2025-01,ST-176,2,1
2025-01,ST-1761,0,2
2025-01,ST-1772,2,0
2025-01,ST-1773,2,1
2025-01,ST-1774,1,2
2025-01,ST-1775,1,2
2025-01,ST-1776,1,0
2025-01,ST-1777,1,2
2025-01,ST-1779,1,2
2025-01,ST-1780,4,4
2025-01,ST-1781,6,0
2025-01,ST-1785,1,0
2025-01,ST-1796,2,4
2025-01,ST-18,4,8
2025-01,ST-180,0,2
2025-01,ST-1804,4,3
2025-01,ST-1805,0,1
2025-01,ST-1807,10,13
2025-01,ST-1808,1,0
2025-01,ST-1811,1,6
2025-01,ST-1812,3,2
2025-01,ST-1813,1,3
2025-01,ST-1829,4,0
2025-01,ST-186,1,0
2025-01,ST-1885,3,2
2025-01,ST-189,4,1
2025-01,ST-1895,1,0
2025-01,ST-1910,1,5
2025-01,ST-1923,1,2
2025-01,ST-1926,1,0
2025-01,ST-1933,2,1
2025-01,ST-1938,1,2
2025-01,ST-1941,1,1
2025-01,ST-195,1,1
2025-01,ST-196,0,1
2025-01,ST-198,4,2
2025-01,ST-1986,1,1
2025-01,ST-1994,1,0
2025-01,ST-1995,1,1
2025-01,ST-20,2,1
2025-01,ST-2005,0,1
2025-01,ST-201,2,4
2025-01,ST-2011,0,1
2025-01,ST-2017,1,1
2025-01,ST-2029,1,0
2025-01,ST-203,1,0
2025-01,ST-2031,2,5
2025-01,ST-2036,1,2
2025-01,ST-2037,1,0
2025-01,ST-204,0,1
2025-01,ST-2040,1,1
2025-01,ST-2045,0,3
2025-01,ST-2046,4,1
2025-01,ST-2047,1,2
2025-01,ST-2049,1,0
2025-01,ST-205,0,1
2025-01,ST-2054,0,1
2025-01,ST-207,2,0
2025-01,ST-21,4,2
2025-01,ST-211,1,3
2025-01,ST-2134,1,0
2025-01,ST-2147,1,0
2025-01,ST-2148,1,1
2025-01,ST-2156,1,1
2025-01,ST-2168,2,3
2025-01,ST-2177,2,3
