'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-05','108',' 서교동 사거리','정기','F','~10대',2,1169.04,12,51720,77
'2018-05','503',' 더샵스타시티 C동 앞','정기','F','~10대',5,147.16,1.71,7360,58
'2018-05','731',' 서울시 도로환경관리센터','정기','F','~10대',1,136.16,1.23,5290,54
'2018-05','732',' 신월동 이마트','정기','F','~10대',1,33.5,0.33,1410,9
'2018-05','733',' 신정이펜하우스314동','정기','F','~10대',22,1271.31,12.29,52980,425
'2018-05','734',' 신트리공원 입구','정기','F','~10대',1,62.29,0.56,2420,19
'2018-05','735',' 영도초등학교','정기','F','~10대',1,3.09,0.03,120,2
'2018-05','736',' 오솔길공원','정기','F','~10대',10,424.53,4.6,19760,163
'2018-05','737',' 장수공원','정기','F','~10대',21,1659.23,17.59,75850,476
'2018-05','504',' 신자초교입구교차로','정기','F','~10대',14,723.23,7.03,30370,480
'2018-05','742',' 등촌역 5번 출구 뒤','정기','F','~10대',4,408.87,3.49,15050,115
'2018-05','743',' 현대6차아파트 101동 옆','정기','F','~10대',1,57.51,0.64,2740,15
'2018-05','745',' 강서초등학교','정기','F','~10대',4,36.29,0.44,1870,218
'2018-05','746',' 목동2단지 상가','정기','F','~10대',18,1478.29,14.16,61080,251
'2018-05','747',' 목동3단지 상가','정기','F','~10대',7,175.1,2.05,8840,81
'2018-05','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',18,2335.51,21.4,92160,306
'2018-05','941',' 은평뉴타운 도서관','정기','F','~10대',5,205.9,2.29,9870,65
'2018-05','945',' 기자촌 사거리','정기','F','~10대',2,91,1.09,4690,30
'2018-05','947',' 연신내 선일하이츠빌 정류소','정기','F','~10대',4,623.56,6.65,28630,155
'2018-05','950',' 구산역 2번 출구 ','정기','F','~10대',2,299.46,2.29,9870,72
'2018-05','507',' 성수아이에스비즈타워 앞','정기','F','~10대',1,41.58,0.41,1750,9
'2018-05','1024','  강동구청 앞','정기','F','~10대',1,19.05,0.17,740,3
'2018-05','1025',' 상일초등학교','정기','F','~10대',6,683.39,6.15,26550,183
'2018-05','1026',' 대명초교 입구 교차로','정기','F','~10대',2,179.33,1.7,7350,55
'2018-05','1031',' 암사동 CBIS','정기','F','~10대',7,1670.11,17.26,74370,181
'2018-05','1032',' 선사고등학교','정기','F','~10대',4,53.01,0.53,2270,15
'2018-05','508',' 성수아카데미타워 앞','정기','F','~10대',11,400.77,4.71,20250,160
'2018-05','1033',' 고덕동 아남아파트','정기','F','~10대',3,66.35,0.65,2840,16
'2018-05','1035',' 고덕역 4번출구','정기','F','~10대',1,173.83,1.73,7440,84
'2018-05','1041',' 묘곡초등학교','정기','F','~10대',5,1460.74,16.87,72680,75
'2018-05','509',' 이마트 버스정류소 옆','정기','F','~10대',12,2807.9,25.45,109750,336
'2018-05','1044',' 굽은다리역','정기','F','~10대',7,337.28,3.3,14260,107
'2018-05','1152',' 마곡역교차로','정기','F','~10대',8,96.82,1.14,4890,42
'2018-05','1153',' 발산역 2번출구','정기','F','~10대',12,667.33,6.23,26860,202
'2018-05','1157',' 강서구청','정기','F','~10대',1,153.49,1.5,6460,59
'2018-05','510',' 서울숲 남문 버스정류소 옆','정기','F','~10대',4,312.92,3.1,13360,111
'2018-05','1251',' 석촌역 2번출구','정기','F','~10대',4,148.38,1.68,7220,49
'2018-05','1253',' 오금역 3번 출구 뒤','정기','F','~10대',1,93.61,0.71,3070,15
'2018-05','1257',' 가락시장역 롯데마트앞','정기','F','~10대',3,408.38,3.79,16340,170
'2018-05','1260',' 방이동 한양3차아파트 옆','정기','F','~10대',13,609.88,5.86,25260,194
'2018-05','511',' 서울숲역 4번 출구 옆','정기','F','~10대',1,97.36,1.04,4470,35
'2018-05','1262',' 송파여성문화회관 앞','정기','F','~10대',6,192.45,2.25,9720,82
'2018-05','1264',' 천호역 10번 출구 앞','정기','F','~10대',2,173.23,1.56,6730,43
'2018-05','1265',' 문정동 근린공원','정기','F','~10대',5,344.34,3.3,14170,131
'2018-05','1268',' 몽촌토성역 1번출구 옆','정기','F','~10대',9,920.26,8.38,36140,309
'2018-05','1271',' 송파도서관','정기','F','~10대',2,82.36,0.95,4090,60
'2018-05','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',6,477.22,4.76,20520,221
'2018-05','1442',' (구)신한은행 중랑교지점','정기','F','~10대',5,168.09,1.76,7580,46
'2018-05','1443',' 구립망우청소년독서실','정기','F','~10대',6,1654.94,13.31,57380,579
'2018-05','1444',' 면목4치안센터','정기','F','~10대',1,124.74,0.97,4200,33
'2018-05','1447',' 면목역 3번출구','정기','F','~10대',1,48.57,0.51,2190,11
'2018-05','1448',' 코스트코 상봉점','정기','F','~10대',4,351.39,2.65,11420,89
'2018-05','1526',' 수유동 채선당앞','정기','F','~10대',3,244.27,2.21,9490,108
'2018-05','1527',' 미아역 1번 출구 뒤','정기','F','~10대',3,258.82,2.75,11850,113
'2018-05','1528',' 삼각산동 주민센터','정기','F','~10대',4,433.4,4.61,19890,131
'2018-05','1529',' 미아동 한국전력공사','정기','F','~10대',6,1086.27,8.95,38540,314
'2018-05','1530',' 광산사거리','정기','F','~10대',29,1618.71,14.85,64020,476
'2018-05','1531',' 미아사거리 1번 출구','정기','F','~10대',6,479.25,4.15,17860,118
'2018-05','1532',' 번3동 주민센터 교차로','정기','F','~10대',2,282.55,2.3,9910,56
'2018-05','1533',"' 번동 주공3, 4단지 교차로'",'정기','F','~10대',10,586.9,6.73,29010,214
'2018-05','1534',' 북서울 꿈의 숲 동문','정기','F','~10대',3,407.2,3.67,15820,170
'2018-05','1535',' 효성인텔리안 앞','정기','F','~10대',8,454.83,4.89,21030,155
'2018-05','513',' 뚝섬역 5번 출구 정류소 옆','정기','F','~10대',2,467.4,4.72,20350,93
'2018-05','1643',' 태릉입구역 8번출구','정기','F','~10대',2,625.69,6.21,26780,45
'2018-05','1646',' 삼육대 입구','정기','F','~10대',5,541.02,5.28,22770,144
'2018-05','1650',' 중계근린공원내','정기','F','~10대',3,104.5,0.94,4060,25
'2018-05','514',' 성수사거리 버스정류장 앞','정기','F','~10대',7,220.7,2.23,9550,119
'2018-05','1653',' 노원역1번출구','정기','F','~10대',7,4184.28,42.49,183120,114
'2018-05','1654',' 당고개입구 오거리','정기','F','~10대',1,190.92,1.64,7090,33
'2018-05','1655',' 공릉1단지아파트','정기','F','~10대',4,481.61,4.71,20270,186
'2018-05','1656',' 중앙하이츠 아파트 입구','정기','F','~10대',4,144.79,1.51,6500,59
'2018-05','1657',' 노원구청 ','정기','F','~10대',2,64.46,0.72,3130,21
'2018-05','1713',' 쌍문동 청소년 랜드','정기','F','~10대',19,2837.32,24.95,107530,434
'2018-05','1715',' 서울특별시교육청도봉도서관','정기','F','~10대',13,778.49,6.55,28210,250
'2018-05','1717',' 시립창동운동장 입구','정기','F','~10대',3,404.26,3.99,17210,146
'2018-05','1720',' 도봉구청 옆(중랑천변)','정기','F','~10대',12,1010.88,8.77,37820,663
'2018-05','1721',' 창동역 2번출구 ','정기','F','~10대',4,148.91,1.44,6210,50
'2018-05','516',' 광진메디칼 앞','정기','F','~10대',1,316.09,3.78,16290,80
'2018-05','2058',' 노량진동 맥도널드앞','정기','F','~10대',3,194.43,1.75,7540,67
'2018-05','2060',' 남성역3번출구 뒤','정기','F','~10대',4,805.74,8.54,36840,318
'2018-05','2062',' 사당새마을금고','정기','F','~10대',4,97.58,0.72,3080,65
'2018-05','2159',' 인헌초교','정기','F','~10대',1,42.25,0.45,1940,57
'2018-05','2160',' 관악구 보건소','정기','F','~10대',4,130.9,1.39,6010,55
'2018-05','2266',' 서초역 3번출구','정기','F','~10대',4,208.51,2.11,9090,68
'2018-05','300',' 정동사거리','정기','F','~10대',6,353.99,2.95,12720,159
'2018-05','2268',' 서초4동주민센터 ','정기','F','~10대',1,299.1,2.7,11620,97
'2018-05','2269',' 주홍교 하부','정기','F','~10대',1,77.61,0.97,4170,67
'2018-05','2273',' 일동제약 사거리','정기','F','~10대',1,28.83,0.24,1040,6
'2018-05','2274',' 양재시민의숲역 3번출구','정기','F','~10대',1,343.53,4.03,17350,58
'2018-05','2277',' 길마중4교 하부','정기','F','~10대',1,29.46,0.36,1550,24
'2018-05','301',' 경복궁역 7번출구 앞','정기','F','~10대',19,3083.92,34.81,150000,462
'2018-05','2361',' 압구정역 교차로','정기','F','~10대',1,46.59,0.42,1810,10
'2018-05','2362',' 신사동 가로수길 입구','정기','F','~10대',22,931.25,8.49,36690,278
'2018-05','2364',' 도산대로 렉서스 앞','정기','F','~10대',1,25.48,0.23,990,8
'2018-05','2365',' K+ 타워 앞','정기','F','~10대',12,1741.57,15.71,67660,141
'2018-05','2369',' KT선릉타워','정기','F','~10대',7,1688.82,15.22,65610,437
'2018-05','2370',' 한티역 3번출구','정기','F','~10대',1,17.34,0.17,730,4
'2018-05','302',' 경복궁역 4번출구 뒤','정기','F','~10대',11,680.66,6.64,28690,244
'2018-05','2371',' 한국우편사업진흥원','정기','F','~10대',1,68.71,0.81,3470,30
'2018-05','2372',' 대치역 사거리','정기','F','~10대',10,195.04,1.98,8510,69
'2018-05','2373',' 개포동역 사거리','정기','F','~10대',15,800,7.68,33100,281
'2018-05','2377',' 수서역 5번출구 뒤','정기','F','~10대',3,317.83,2.95,12710,88
'2018-05','3100',' 북성초교','정기','F','~10대',5,344.83,3.06,13190,132
'2018-05','3101',' 서대문구청','정기','F','~10대',1,147.82,1.26,5410,40
'2018-05','303',' 광화문역 1번출구 앞','정기','F','~10대',6,455.33,4.1,17690,62
'2018-05','3102',' 연희삼거리','정기','F','~10대',1,41.47,0.43,1870,18
'2018-05','3508',' 화양사거리','정기','F','~10대',10,1863.69,22.03,94950,558
'2018-05','3509',' 세종사이버대학교','정기','F','~10대',3,271.53,2.79,12040,103
'2018-05','3511',' 응봉역 1번출구','정기','F','~10대',4,678.16,5.75,24800,204
'2018-05','3513',' 상왕십리역 1번출구','정기','F','~10대',18,4035.29,33.7,145220,290
'2018-05','3514',' 왕십리교회옆','정기','F','~10대',7,400.46,3.67,15790,143
'2018-05','3515',' 서울숲 관리사무소','정기','F','~10대',3,388.17,3.41,14700,317
'2018-05','115',' 사루비아 빌딩 앞','정기','F','~10대',3,646.59,7.55,32520,87
'2018-05','304',' 광화문역 2번출구 앞','정기','F','~10대',4,154.1,1.48,6400,66
'2018-05','1336',' 성북3교 위','정기','F','~10대',3,222.86,2.1,9040,90
'2018-05','1337',' 돈암성당 옆','정기','F','~10대',9,588.81,6.25,26880,303
'2018-05','1339',' 삼성전자서비스 성북센터','정기','F','~10대',1,73.87,0.67,2870,19
'2018-05','1340',' 광운초등학교 앞','정기','F','~10대',3,275.53,2.73,11770,69
'2018-05','1342',' 성북쉼터 앞','정기','F','~10대',1,129.99,1.17,5050,37
