대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이용시간
2020-01,3,중랑센터,일일(회원),M,AGE_003,3,61.82,0.52,2230,75
2020-01,3,중랑센터,일일(회원),M,AGE_004,1,39.62,0.28,1220,15
2020-01,3,중랑센터,정기,M,AGE_005,3,430.85,4.01,17270,53
2020-01,5,상암센터 정비실,일일(회원),\N,AGE_005,2,1.79,0.02,90,33
2020-01,5,상암센터 정비실,정기,F,AGE_003,1,4501.96,45.47,196010,64
2020-01,101,101. (구)합정동 주민센터,일일(비회원),\N,AGE_008,2,341.31,3.07,13260,121
2020-01,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_002,15,1084.68,9.74,41990,382
2020-01,101,101. (구)합정동 주민센터,일일(회원),\N,AGE_003,5,405.08,4.32,18620,117
2020-01,101,101. (구)합정동 주민센터,일일(회원),,AGE_002,1,280.27,1.73,7450,35
2020-01,101,101. (구)합정동 주민센터,일일(회원),,AGE_003,1,72.82,0.6,2590,40
2020-01,101,101. (구)합정동 주민센터,일일(회원),F,AGE_002,2,124.74,1.34,5760,141
2020-01,101,101. (구)합정동 주민센터,일일(회원),F,AGE_003,1,106.06,1.29,5580,45
2020-01,101,101. (구)합정동 주민센터,일일(회원),M,AGE_003,5,1660.09,13.24,57040,156
2020-01,101,101. (구)합정동 주민센터,정기,\N,AGE_002,92,5063.01,48.12,207450,1735
2020-01,101,101. (구)합정동 주민센터,정기,\N,AGE_003,5,166.81,1.89,8150,57
2020-01,101,101. (구)합정동 주민센터,정기,\N,AGE_004,7,368.97,3.4,14700,98
2020-01,101,101. (구)합정동 주민센터,정기,\N,AGE_005,10,1118.94,8.77,37860,185
2020-01,101,101. (구)합정동 주민센터,정기,,AGE_002,9,221.61,2.15,9310,54
2020-01,101,101. (구)합정동 주민센터,정기,F,AGE_002,27,1251.03,13.16,56760,1139
2020-01,101,101. (구)합정동 주민센터,정기,F,AGE_003,30,1197.3,12.53,53790,379
2020-01,101,101. (구)합정동 주민센터,정기,F,AGE_004,18,1552.16,15.69,67580,410
2020-01,101,101. (구)합정동 주민센터,정기,M,AGE_002,15,1151.76,8.32,35860,253
2020-01,101,101. (구)합정동 주민센터,정기,M,AGE_003,38,3430.64,25.78,111010,836
2020-01,101,101. (구)합정동 주민센터,정기,M,AGE_004,6,1206.59,9.3,40080,117
2020-01,101,101. (구)합정동 주민센터,정기,M,AGE_005,11,1606.77,14.38,61950,78
2020-01,101,101. (구)합정동 주민센터,정기,M,AGE_006,2,69.75,0.63,2710,19
2020-01,101,101. (구)합정동 주민센터,정기,M,AGE_008,3,78.62,0.63,2720,10
2020-01,102,102. 망원역 1번출구 앞,단체,F,AGE_002,2,169.48,1.98,8560,45
2020-01,102,102. 망원역 1번출구 앞,단체,M,AGE_004,1,371.47,2.98,12850,33
2020-01,102,102. 망원역 1번출구 앞,일일(비회원),\N,AGE_008,18,3178.9,28.65,123500,952
