"대여일자","대여소번호","대여소명","대여구분코드","성별","연령대코드","이용건수","운동량","탄소량","이동거리(M)","이용시간(분)"
"2020-09","00003","중랑센터","일일(회원)",\N,"AGE_002","1",\N,\N,"0.00","70"
"2020-09","00003","중랑센터","정기","M","AGE_002","18","57.10","0.51","2218.50","505"
"2020-09","00003","중랑센터","정기","M","AGE_003","7","0.00","0.00","0.00","158"
"2020-09","00003","중랑센터","정기","M","AGE_005","1","0.00","0.00","0.00","29"
"2020-09","00005","상암센터 정비실","일일(회원)",\N,"AGE_005","1","0.40","0.00","20.00","9"
"2020-09","00005","상암센터 정비실","일일(회원)","M","AGE_004","6","118.86","1.09","4690.00","68"
"2020-09","00005","상암센터 정비실","정기",\N,"AGE_003","1","0.00","0.00","0.00","36"
"2020-09","00005","상암센터 정비실","정기",\N,"AGE_005","4","0.00","0.00","0.00","170"
"2020-09","00005","상암센터 정비실","정기",\N,"AGE_008","1","0.00","0.00","0.00","2"
"2020-09","00010","위트콤","일일(비회원)",\N,"AGE_008","1","0.00","0.00","0.00","22"
"2020-09","00010","위트콤","일일(회원)",\N,"AGE_001","2","127.95","1.47","6335.34","133"
"2020-09","00010","위트콤","일일(회원)",\N,"AGE_002","6","0.00","0.00","0.00","408"
"2020-09","00010","위트콤","일일(회원)",\N,"AGE_003","3","0.00","0.00","0.00","104"
"2020-09","00010","위트콤","일일(회원)",\N,"AGE_004","1","0.00","0.00","0.00","19"
"2020-09","00010","위트콤","일일(회원)",\N,"AGE_008","1","0.00","0.00","0.00","4"
"2020-09","00010","위트콤","일일(회원)","M","AGE_001","1","0.00","0.00","0.00","111"
"2020-09","00010","위트콤","일일(회원)","M","AGE_003","1","0.00","0.00","0.00","24"
"2020-09","00010","위트콤","정기",\N,"AGE_002","2","0.00","0.00","0.00","85"
"2020-09","00010","위트콤","정기",\N,"AGE_003","7","0.00","0.00","0.00","142"
"2020-09","00010","위트콤","정기",\N,"AGE_004","3","0.00","0.00","0.00","148"
"2020-09","00010","위트콤","정기",\N,"AGE_006","1","0.00","0.00","0.00","74"
"2020-09","00010","위트콤","정기",\N,"AGE_008","36","11.47","0.10","445.46","268"
"2020-09","00010","위트콤","정기","","AGE_003","1","0.00","0.00","0.00","3"
"2020-09","00010","위트콤","정기","F","AGE_002","5","0.00","0.00","0.00","134"
"2020-09","00010","위트콤","정기","F","AGE_003","3","0.00","0.00","0.00","83"
"2020-09","00010","위트콤","정기","F","AGE_004","1","0.00","0.00","0.00","38"
"2020-09","00010","위트콤","정기","F","AGE_005","1","0.00","0.00","0.00","7"
"2020-09","00010","위트콤","정기","F","AGE_006","1","0.00","0.00","0.00","7"
"2020-09","00010","위트콤","정기","M","AGE_001","1","0.00","0.00","0.00","34"
"2020-09","00010","위트콤","정기","M","AGE_002","2","209.33","1.08","4636.98","106"
"2020-09","00010","위트콤","정기","M","AGE_003","11","0.04","0.00","0.80","217"
"2020-09","00010","위트콤","정기","M","AGE_004","5","0.00","0.00","0.00","45"
"2020-09","00010","위트콤","정기","M","AGE_005","1","0.00","0.00","0.00","53"
"2020-09","00101","101. (구)합정동 주민센터","단체",\N,"AGE_003","2","0.00","0.00","0.00","46"
"2020-09","00101","101. (구)합정동 주민센터","일일(비회원)",\N,"AGE_008","8","1976.83","17.81","76800.00","503"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_001","4","1250.14","10.71","46150.00","218"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_002","79","2309.39","21.41","92320.66","4288"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_003","22","941.79","8.89","38290.00","1064"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_005","1","0.00","0.00","0.00","59"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)",\N,"AGE_008","2","0.00","0.00","0.00","45"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","","AGE_002","6","0.00","0.00","0.00","432"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","","AGE_003","2","0.00","0.00","0.00","192"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_001","4","124.65","1.58","6830.00","204"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_002","61","3539.13","36.13","155720.00","3420"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_003","10","17.25","0.16","670.00","428"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_004","2","0.00","0.00","0.00","128"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","F","AGE_005","3","0.00","0.00","0.00","111"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_001","4","0.00","0.00","0.00","213"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_002","40","1701.38","13.86","59772.80","2270"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_003","26","638.31","5.21","22480.00","993"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_005","1","0.00","0.00","0.00","186"
"2020-09","00101","101. (구)합정동 주민센터","일일(회원)","M","AGE_006","1","467.44","4.21","18160.00","110"
"2020-09","00101","101. (구)합정동 주민센터","정기",\N,"AGE_001","3","0.00","0.00","0.00","86"
"2020-09","00101","101. (구)합정동 주민센터","정기",\N,"AGE_002","75","2666.21","22.62","97513.76","3476"
"2020-09","00101","101. (구)합정동 주민센터","정기",\N,"AGE_003","46","830.41","7.64","32925.75","1558"
"2020-09","00101","101. (구)합정동 주민센터","정기",\N,"AGE_004","17","82.51","0.72","3110.00","758"
"2020-09","00101","101. (구)합정동 주민센터","정기",\N,"AGE_005","48","181.21","1.62","7040.00","1660"
"2020-09","00101","101. (구)합정동 주민센터","정기",\N,"AGE_006","1","453.47","3.91","16840.00","114"
"2020-09","00101","101. (구)합정동 주민센터","정기","","AGE_002","15","19.86","0.20","880.00","356"
"2020-09","00101","101. (구)합정동 주민센터","정기","","AGE_003","3","0.00","0.00","0.00","152"
"2020-09","00101","101. (구)합정동 주민센터","정기","","AGE_004","2","0.00","0.00","0.00","74"
"2020-09","00101","101. (구)합정동 주민센터","정기","","AGE_006","2","0.00","0.00","0.00","31"
"2020-09","00101","101. (구)합정동 주민센터","정기","F","AGE_002","87","516.50","5.16","22270.00","2251"
"2020-09","00101","101. (구)합정동 주민센터","정기","F","AGE_003","67","1437.62","13.56","58480.00","1598"
"2020-09","00101","101. (구)합정동 주민센터","정기","F","AGE_004","16","108.35","0.88","3800.00","1154"
"2020-09","00101","101. (구)합정동 주민센터","정기","F","AGE_005","4","0.00","0.00","0.00","168"
"2020-09","00101","101. (구)합정동 주민센터","정기","M","AGE_001","1","0.00","0.00","0.00","7"
"2020-09","00101","101. (구)합정동 주민센터","정기","M","AGE_002","56","707.56","5.42","23310.52","2082"
"2020-09","00101","101. (구)합정동 주민센터","정기","M","AGE_003","87","1464.03","11.38","49028.17","3048"
"2020-09","00101","101. (구)합정동 주민센터","정기","M","AGE_004","41","519.84","4.61","19890.00","1645"
"2020-09","00101","101. (구)합정동 주민센터","정기","M","AGE_005","20","203.97","1.80","7770.00","383"
"2020-09","00101","101. (구)합정동 주민센터","정기","M","AGE_006","12","21.62","0.19","840.00","183"
"2020-09","00101","101. (구)합정동 주민센터","정기","M","AGE_007","1","0.00","0.00","0.00","7"
"2020-09","00101","101. (구)합정동 주민센터","정기","M","AGE_008","11","0.00","0.00","0.00","102"
"2020-09","00102","102. 망원역 1번출구 앞","BIL_021",\N,"AGE_002","1","12.62","0.13","540.00","4"
"2020-09","00102","102. 망원역 1번출구 앞","BIL_021","M","AGE_002","1","0.00","0.00","0.00","16"
"2020-09","00102","102. 망원역 1번출구 앞","단체",\N,"AGE_002","1","0.00","0.00","0.00","58"
"2020-09","00102","102. 망원역 1번출구 앞","단체","F","AGE_002","4","0.00","0.00","0.00","257"
"2020-09","00102","102. 망원역 1번출구 앞","단체","M","AGE_003","5","187.13","1.69","7270.00","250"
"2020-09","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"AGE_008","27","3722.78","33.56","144630.00","1660"
"2020-09","00102","102. 망원역 1번출구 앞","일일(비회원)","M","AGE_008","2","0.00","0.00","0.00","14"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_001","15","51.48","0.46","2000.00","615"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_002","317","11044.62","109.95","473862.01","15813"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_003","76","2802.18","23.91","103055.04","3551"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_004","10","877.04","6.85","29530.00","483"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_005","5","156.15","1.19","5120.91","491"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_007","1","0.00","0.00","0.00","59"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_008","10","103.27","1.08","4660.37","489"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","","AGE_001","1","0.00","0.00","0.00","74"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","","AGE_002","47","4437.28","43.04","185460.00","2941"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","","AGE_003","5","36.93","0.32","1371.49","95"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","","AGE_004","1","0.00","0.00","0.00","11"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_001","23","44.73","0.58","2510.00","1419"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_002","194","3941.88","43.97","189484.57","10473"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_003","93","2891.12","31.32","135061.59","4288"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_004","13","240.14","2.61","11230.00","1043"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_005","8","50.19","0.45","1950.00","432"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_006","2","0.00","0.00","0.00","235"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_007","1","0.00","0.00","0.00","39"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","M","AGE_001","20","280.20","2.28","9827.55","977"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","M","AGE_002","129","5030.95","42.31","182295.17","7165"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","M","AGE_003","61","1089.58","8.49","36590.00","2971"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","M","AGE_004","13","0.00","0.00","0.00","725"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","M","AGE_005","6","0.00","0.00","0.00","149"
"2020-09","00102","102. 망원역 1번출구 앞","일일(회원)","M","AGE_006","2","0.00","0.00","0.00","25"
"2020-09","00102","102. 망원역 1번출구 앞","정기",\N,"AGE_001","14","122.60","1.20","5160.00","363"
"2020-09","00102","102. 망원역 1번출구 앞","정기",\N,"AGE_002","495","14041.55","126.00","543152.74","15553"
"2020-09","00102","102. 망원역 1번출구 앞","정기",\N,"AGE_003","254","4543.13","47.43","204319.26","7901"
"2020-09","00102","102. 망원역 1번출구 앞","정기",\N,"AGE_004","93","2802.42","24.61","106130.00","4007"
"2020-09","00102","102. 망원역 1번출구 앞","정기",\N,"AGE_005","81","1846.16","17.01","73280.00","1972"
"2020-09","00102","102. 망원역 1번출구 앞","정기",\N,"AGE_006","12","98.65","0.77","3321.70","203"
"2020-09","00102","102. 망원역 1번출구 앞","정기",\N,"AGE_007","3","0.00","0.00","0.00","20"
"2020-09","00102","102. 망원역 1번출구 앞","정기",\N,"AGE_008","9","33.50","0.33","1410.00","365"
"2020-09","00102","102. 망원역 1번출구 앞","정기","","AGE_001","1","0.00","0.00","0.00","11"
"2020-09","00102","102. 망원역 1번출구 앞","정기","","AGE_002","75","1300.57","9.87","42521.20","2379"
"2020-09","00102","102. 망원역 1번출구 앞","정기","","AGE_003","21","429.83","3.75","16130.00","415"
