대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리(M),이용시간(분)
"2021-08","00003","중랑센터","정기","M","AGE_002","2","140.28","1.27","5449.89","26"
"2021-08","00003","중랑센터","정기","M","AGE_004","1","31.36","0.26","1100.00","7"
"2021-08","00003","중랑센터","정기","M","AGE_005","6","320.59","2.80","12082.94","71"
"2021-08","00005","상암센터 정비실","일일(회원)","M","AGE_004","4","108.04","0.93","4012.40","75"
"2021-08","00005","상암센터 정비실","정기","M","AGE_004","1","16.16","0.11","480.00","10"
"2021-08","00010","위트콤","일일(회원)","M","AGE_004","1","0.00","0.00","0.00","4"
"2021-08","00010","위트콤","정기",\N,"AGE_003","1","0.00","0.00","0.00","3"
"2021-08","00010","위트콤","정기","F","AGE_001","3","0.00","0.00","0.00","14"
"2021-08","00010","위트콤","정기","F","AGE_002","2","0.00","0.00","0.00","70"
"2021-08","00102","102. 망원역 1번출구 앞","단체",\N,"AGE_002","3","57.06","0.68","2940.28","28"
"2021-08","00102","102. 망원역 1번출구 앞","단체",\N,"AGE_003","2","263.84","2.12","9126.94","136"
"2021-08","00102","102. 망원역 1번출구 앞","단체",\N,"AGE_004","3","229.85","2.69","11608.72","146"
"2021-08","00102","102. 망원역 1번출구 앞","단체","F","AGE_002","14","1041.41","11.81","50911.24","545"
"2021-08","00102","102. 망원역 1번출구 앞","단체","F","AGE_003","10","1240.89","11.19","48208.80","566"
"2021-08","00102","102. 망원역 1번출구 앞","단체","F","AGE_004","5","706.50","7.33","31575.74","254"
"2021-08","00102","102. 망원역 1번출구 앞","단체","F","AGE_008","2","154.28","1.39","5993.59","72"
"2021-08","00102","102. 망원역 1번출구 앞","단체","M","AGE_002","4","435.93","3.90","16830.92","143"
"2021-08","00102","102. 망원역 1번출구 앞","단체","M","AGE_008","4","379.63","3.44","14828.90","182"
"2021-08","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"AGE_005","1","20.31","0.18","788.89","7"
"2021-08","00102","102. 망원역 1번출구 앞","일일(비회원)",\N,"AGE_008","65","7788.20","70.14","302573.40","3342"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_001","10","452.91","4.27","18448.93","244"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_002","209","18565.96","171.88","740782.42","7995"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_003","55","7325.22","64.06","276198.96","2369"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_004","13","1230.48","9.92","42770.40","403"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_005","11","1068.73","9.60","41425.46","468"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_007","1","77.91","0.91","3934.99","54"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)",\N,"AGE_008","13","1031.00","9.66","41691.13","402"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","","AGE_001","1","28.26","0.33","1427.47","16"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","","AGE_002","21","2574.60","23.20","99944.75","786"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","","AGE_003","4","158.61","1.35","5837.77","50"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_001","18","1114.73","11.29","48743.41","519"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_002","155","14104.64","142.86","615842.12","6365"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_003","65","6973.60","68.21","294116.90","2912"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_004","11","1365.07","15.03","64797.06","554"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_005","3","99.28","0.77","3292.37","35"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_006","2","388.60","3.25","14018.55","87"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_007","2","509.63","3.40","14624.23","82"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","F","AGE_008","67","6644.55","64.94","279779.54","3033"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","M","AGE_001","8","943.75","8.70","37479.28","307"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","M","AGE_002","103","10036.51","84.55","364347.61","3437"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","M","AGE_003","43","6047.33","48.42","208771.39","1727"
"2021-08","00102","102. 망원역 1번출구 앞","일일(회원)","M","AGE_004","18","2503.19","19.78","85300.74","735"
